$Weekly Temperature Data for daily run off (Average of all tribs), 
FROM: DCR other spreadsheets (use TribsWQ 'averages' to check), 
JDAY,TEMP (C)
315,7.38488070539419
316,6.94909232365145
317,6.51330394190871
318,6.07751556016597
319,5.64172717842324
320,5.2059387966805
321,4.77015041493776
322,4.33436203319502
323,3.89857365145228
324,4.00017783046829
325,4.10178200948429
326,4.2033861885003
327,4.3049903675163
328,4.40659454653231
329,4.50819872554831
330,4.60980290456432
331,4.71140708358032
332,4.81301126259632
333,4.91461544161233
334,5.01621962062833
335,5.11782379964434
336,5.21942797866034
337,5.32103215767635
338,5.15394931831654
339,4.98686647895673
340,4.81978363959692
341,4.65270080023711
342,4.4856179608773
343,4.31853512151749
344,4.15145228215768
345,3.98436944279787
346,3.81728660343806
347,3.65020376407825
348,3.48312092471844
349,3.31603808535862
350,3.14895524599881
351,2.981872406639
352,1.1079356846473
353,1.18122406639004
354,1.25451244813278
355,1.32780082987552
356,1.40108921161826
357,1.474377593361
358,1.54766597510373
359,1.62095435684647
360,1.69424273858921
361,1.76753112033195
362,1.84081950207469
363,1.91410788381743
364,1.98739626556017
365,2.0606846473029
