$Withdrawal from North Dyke + Towns, Nashua River, Wachusett Aqueduct, Spillway, , , , 
FROM: 2017_WaterBalance, , , , 
JDAY,ND+T,Nash,Wach,Spill
174,0.05844606176,1.09303056620957,0,0
175,0.06181963504,1.16948607213614,0,0
176,0.10160151216,1.15249595970802,0,0
177,0.10904966096,0.86366404842984,0,0
178,0.08929016032,0.866495733834528,11.8294128,0
179,0.10677140368,0.65128764307824,0,0
180,0.07369286048,0.419089439893824,0,0
181,0.09450386448,0.404931012870384,0,0
182,0.08679283984,0.404931012870384,0,0
183,0.08701190304,0.404931012870384,0,0
184,0.08688046512,0.4192869648,0,0
185,0.08692427776,0.4219157232,0,0
186,0.07890656464,0.4245444816,0,0
187,0.06401026704,0.41622008,0,0
188,0.07356142256,0.4105244368,0,0
189,0.09371523696,0.4135913216,0,0
190,0.08613565024,0.4048287936,2.190632,0
191,0.07767981072,0.3908087488,2.6287584,0
192,0.08758146736,0.387741864,2.6287584,0
193,0.08241157584,0.387741864,2.190632,0
194,0.08100957136,0.3824843472,0,0
195,0.07408717424,0.3794174624,0,0
196,0.06852296896,0.387741864,0,0
197,0.0937590496,0.3824843472,9.2006544,0
198,0.06295876368,0.6116244544,0,0
199,0.05735074576,0.396504392,11.3912864,0
200,0.08639852608,0.3824843472,0,0
201,0.0705383504,0.3737218192,0,0
202,0.06392264176,0.3737218192,0,0
203,0.07189654224,0.4048287936,0,0
204,0.05353904608,0.3851131056,0,0
205,0.07873131408,0.379445844228192,0,0
206,0.06571896,0.220588293025195,0,0
207,0.05305710704,0.257400203286139,0,0
208,0.07562061664,0.379445844228192,0,0
209,0.05840224912,0.379445844228192,0,0
210,0.07583967984,0.373782473418816,0,0
211,0.07408717424,0.373782473418816,0,0
212,0.06953065968,0.373782473418816,0,0
213,0.0644045808,0.376614158823504,0,0
214,0.0836821424,0.393604271251632,0,0
215,0.061337696,0.376614158823504,0,0
216,0.06847915632,0.416257754489136,0,0
217,0.06116244544,0.379445844228192,0,0
218,0.0644045808,2.48338809991138,0,0
219,0.08328782864,2.34746720048635,0,0
220,0.06558752208,1.12701079106582,0,0
221,0.05384573456,1.12984247647051,0,0
222,0.08052763232,2.0303184351613,0,0
223,0.05200560368,2.69293281985829,0,0
224,0.06361595328,4.21921125298512,0,0
225,0.0617758224,5.26693485271968,0,0
226,0.05174272784,5.3802022689072,0,0
227,0.07325473408,5.70771954083904,0,3.0138715056
228,0.05875275024,5.3432923103392,0,4.2844380656
229,0.06558752208,4.78310945950448,0,2.8907579872
230,0.06151294656,4.48928699936688,0,2.6182433664
231,0.04749290176,4.32697190226368,0,2.3558056528
232,0.07224704336,4.61816358861984,2.190632,1.5549105936
233,0.0552039264,4.9460190065072,2.190632,0.4341832624
234,0.05888418816,5.0686843216,2.190632,0
235,0.06405407968,5.0402061056,1.2780147088,0
236,0.05923468928,5.0402061056,0,0
237,0.06742765296,5.04033754352,0,0
238,0.0619948856,5.0686843216,0,0
239,0.06195107296,5.0402061056,0,0
240,0.08596039968,5.069122448,0,0
241,0.07391192368,5.0686843216,0,0
242,0.0694430344,5.0686843216,0,0
243,0.06690190128,5.0686843216,0,0
244,0.07443767536,5.0971625376,0,0
245,0.06690190128,5.0971625376,0,0
246,0.07220323072,5.0971625376,0,0
247,0.0856537112,5.0971625376,0,0
248,0.07619018096,5.1252026272,0,0
249,0.0790818152,5.1536808432,0,0
250,0.07066978832,4.587183408,0,0
251,0.08232395056,4.3891502752,0,0
252,0.07654068208,4.3041537536,0,0
253,0.06764671616,4.9836878,0.302307216,0
254,0.08797578112,5.2386773648,5.73945584,0
255,0.06764671616,5.2106372752,3.1400519088,0
256,0.06606946112,5.2101991488,4.6003272,0
257,0.0856537112,5.1536808432,0,0
258,0.06234538672,5.1252026272,0,0
259,0.09086741536,5.0686843216,0,0
260,0.07478817648,5.012166016,0,0
261,0.05993569152,5.2951956704,0,0
262,0.08372595504,5.1536808432,0,0
263,0.06501795776,5.2667174544,7.8862752,0
264,0.06821628048,5.2667174544,0,0
265,0.08201726208,5.0971625376,0,0
266,0.06409789232,4.9556477104,0,0
267,0.08644233872,4.9271694944,7.8862752,0
268,0.06444839344,5.0686843216,0,0
269,0.07509486496,5.012166016,0,0
270,0.0663761496,4.92713260415712,0,0
271,0.06011094208,4.955449458204,0,0
272,0.07119554,4.92713260415712,0,0
273,0.06764671616,5.01208316629776,0,0
274,0.07395573632,5.12535058248528,0,0
275,0.05117316352,5.15366743653216,0,0
276,0.07702262112,5.12535058248528,0,0
277,0.0562992424,4.87049889606336,0,0
278,0.07803031184,5.04040002034464,8.762528,0
279,0.05375810928,4.955449458204,0,0
280,0.077767436,5.0970337284384,0,0
281,0.0530132944,5.15366743653216,0,0
282,0.07588349248,5.1821590592,8.762528,0
283,0.055861116,5.2101991488,0,0
284,0.072290856,5.408670408,8.1053384,0
285,0.05437148624,5.3236738864,0,0
286,0.07115172736,5.351713976,0,0
287,0.05502867584,5.3236738864,0,0
288,0.07452530064,5.380192192,6.571896,0
289,0.0549848632,5.4651887136,0,0
290,0.07465673856,5.8047366736,7.31671088,0
291,0.05634305504,1.618877048,2.190632,1.9772644432
292,0.0738242984,0,0,5.2724130976
293,0.05178654048,0,0,5.045025496
294,0.07811793712,0,0,5.045025496
295,0.05485342528,0,0,4.9328651376
296,0.09757074928,0,0,4.9328651376
297,0.09051691424,0,0,3.2386303488
298,0.0823677632,0,0,5.1580621072
299,0.08990353728,0,0,2.3452906192
300,0.06641996224,0,0,0.5940993984
301,0.06466745664,0,0,1.1995900832
302,0.06501795776,0,2.190632,3.3113593312
303,0.06869821952,0,0,4.1757827184
304,0.05069122448,0,6.22139488,3.1715970096
305,0.07386811104,0,0,2.4421165536
306,0.05362667136,0,0,2.3558056528
307,0.06852296896,0,0,6.8404674832
308,0.0606805064,0,0,6.7107820688
309,0.07106410208,0,3.0668848,5.9988266688
310,0.05932231456,0,3.0668848,7.3811154608
311,0.0532323576,0,3.0668848,9.2887178064
312,0.0753577408,0,3.0668848,9.8631015168
313,0.0527942312,0,1.7525056,4.5854309024
314,0.07062597568,0,0,4.6231097728
315,0.05296948176,0,0,9.1581561392
316,0.07014403664,0,0,12.3030274384
317,0.05511630112,0,0,7.7377503504
318,0.06685808864,0,0,8.0207800048
319,0.05997950416,0,0,7.1559184912
320,0.0530132944,0,0,5.1028581808
321,0.07347379728,0,0,9.0941896848
322,0.0552039264,0,0,10.8528290544
323,0.07741693488,0,0,10.992591376
324,0.05393335984,0,0,11.6103496
325,0.07487580176,0,0,11.9240481024
326,0.05305710704,0,0,11.9774995232
327,0.07347379728,0,0,11.2918317072
328,0.05121697616,0,0,9.643162064
329,0.07794268656,0,0,5.0594836672
330,0.05743837104,0,0,3.8866192944
331,0.070100224,0,0,6.4128561168
332,0.06580658528,0,0,10.5754950432
333,0.06063669376,0,0,11.9385062736
334,0.06799721728,0,0,12.4445422656
335,0.0508226624,0,0,9.5958444128
336,0.07789887392,0,0,2.2664278672
337,0.05822699856,0,0,5.6207235856
338,0.06436076816,0,0,10.9483406096
339,0.05993569152,0,0,12.773575192
340,0.04924540736,0,0,12.0388372192
341,0.07286042032,0,0,13.5801658944
342,0.05244373008,0,0,13.5657077232
343,0.058051748,0,0,13.143792
344,0.06817246784,0,0,13.2699724032
345,0.0560801792,0,0,12.9142137664
346,0.05577349072,0,0,12.1948102176
347,0.0694430344,0,0,11.3334537152
348,0.05402098512,0,0,12.0252553008
349,0.05296948176,0,0,11.9867001776
350,0.07868750144,0,0,11.0666347376
351,0.0587089376,0,0,9.7158910464
352,0.04876346832,0,0,8.7967018592
353,0.078862752,0,0,10.3336492704
354,0.0584898744,0,0,4.5976984416
355,0.05231229216,0,0,1.1890750496
356,0.06826009312,0,0,3.8261578512
357,0.06427314288,0,0,7.2956808128
358,0.05296948176,0,0,10.5754950432
359,0.055861116,0,0,10.1697899968
360,0.066814276,0,0,11.9516500656
361,0.05218085424,0,0,10.1027566576
362,0.06203869824,0,0,8.0553919904
363,0.06173200976,0,0,9.5805099888
364,0.05121697616,0,0,10.3056091808
365,0.07356142256,0,0,9.104266592
