$Combined Quinapoxet, Quabbin, Trout flows (Dan Crocker -> Quinapoxet_Quabbin_Trout), 
JDAY,Flow
 ,(m3/s)
275,2.36555534435662
276,7.67854358618213
277,10.5122569421525
278,10.2136849567112
279,10.0434236846443
280,9.65072979087643
281,9.39837510723109
282,9.25095315160028
283,9.23751365801077
284,11.0017094752208
285,17.641478400073
286,13.4684915061999
287,11.7322653259888
288,10.7360959913033
289,9.99965087429737
290,9.46857518220474
291,9.13712770030938
292,8.84223947772881
293,8.76902421266998
294,8.73803316188195
295,8.46097236181391
296,8.50507717545073
297,8.71032712823688
298,8.56668463912848
299,8.47011992201083
300,5.12016352180092
301,4.79880040222052
302,3.99526658997189
303,3.17343140714702
304,2.5276958028357
305,2.59582704190782
306,2.50186713978031
307,24.2188499728894
308,16.4419848769738
309,8.19376308703015
310,9.52754696812045
311,11.6324783535373
312,8.78494912036975
313,6.82977916796505
314,12.6336929081217
