$Muddy Brook inflow constituents,
Auto-Generated,
JDAY,TDS
1387,83.903
1388,83.537
1389,80.461
1390,81.956
1391,82.324
1392,81.72
1393,83.557
1394,86.197
1395,88.123
1396,90.047
1397,91.946
1398,87.976
1399,78.67
1400,85.866
1401,92.2
1402,97.14
1403,100.033
1404,102.465
1405,104.024
1406,105.54
1407,105.012
1408,103.461
1409,101.62
1410,101.358
1411,100.876
1412,100.37
1413,99.329
1414,98.28
1415,101.211
1416,103.774
1417,106.327
1418,109.114
1419,111.584
1420,113.94
1421,114.347
1422,114.656
1423,114.946
1424,115.236
1425,115.537
1426,115.871
1427,116.157
1428,116.4
1429,116.311
1430,116.315
1431,116.312
1432,116.269
1433,116.094
1434,115.04
1435,115.32
1436,115.288
1437,114.614
1438,113.716
1439,112.884
1440,110.1
1441,109.779
1442,109.98
1443,108.607
1444,107.197
1445,105.494
1446,103.79
1447,101.795
1448,92.543
1449,90.84
1450,93.377
1451,86.497
1452,84.733
1453,88.34
1454,89.552
1455,90.451
1456,91.799
1457,90.715
1458,90.444
1459,91.395
1460,90.708
1461,90.84
1469,77.64
1476,61.62
1484,54.12
1485,59.53
1490,86.58
1499,72.96
1506,76.44
1513,72.48
1518,87.54
1526,69
1534,43.56
1540,61.8
1547,69.18
1553,103.98
1561,109.44
1568,109.2
1575,111.12
1582,115.26
1588,116.94
1596,114.66
1603,102.72
1610,96.36
1617,111.48
1624,76.38
1631,97.8
1638,105.9
1644,108.48
1652,127.98
1659,115.02
1666,130.08
1673,133.92
1678,129.9
1688,130.56
1694,133.92
1701,134.7
1709,132.96
1715,132.36
1722,131.82
1729,131.82
1736,106.14
1744,131.22
1751,131.88
1757,131.88
1763,131.64
1771,128.64
1779,134.94
1786,132.42
1791,77.16
1799,82.92
1806,77.16
1814,75.9
1826,75.9
1835,83.64
1841,66.48
1842,64.1925
1849,48.18
1855,99.96
1861,100.98
1869,88.62
1877,96.12
1882,128.88
1891,98.4
1896,80.52
1904,87.06
1909,64.32
1918,48.36
1925,126.78
1934,117.36
1939,120.3327
1945,123.9
1953,113.82
1960,122.04
1967,126.9
1974,95.64
1981,106.5
1988,118.2
1994,76.62
2004,105.6
2008,140.34
2016,138.3
2024,126.9
2030,152.88
2038,150.66
2043,152.82
2052,145.44
2058,152.1
2065,154.8
2073,153.36
2079,153.18
2087,154.14
2094,142.32
2101,153.9
2108,151.32
2114,151.44
2121,155.1
2128,146.22
2135,149.16
2142,148.2
2149,133.98
2155,134.28
2164,119.46
