$Malden inflow constituents,
Auto-Generated,
JDAY,TDS
1791,77.7
1799,83.94
1806,84.18
1814,69.84
1826,69.84
1835,129.18
1841,80.16
1842,82.2375
1849,96.78
1855,16.02
1861,93.48
1869,93.6
1877,90.12
1882,102.3
1891,94.5
1896,98.04
1904,89.22
1909,83.88
1918,62.94
1925,148.8
1934,159.48
1939,159.9982
1945,160.62
1953,142.62
1960,165.78
1967,151.26
1974,114.48
1981,128.28
1988,138.24
1994,57.3
2004,132.3
2008,126.12
2016,129.66
2024,136.38
2030,162.06
2038,163.32
2043,165.24
2052,151.62
2058,166.98
2065,167.16
2073,159.36
2079,163.5
2087,158.88
2094,158.76
2101,137.22
2108,153.84
2114,158.94
2121,157.44
2128,155.94
2135,156.9
2142,163.08
2149,162.84
2155,160.74
2164,149.04
2172,134.7
2177,132.96
2191,132.96
2197,168.6
2204,202.56
2212,198.42
2248,166.62
2268,168.6
2290,137.1
2297,154.92
2305,160.62
2310,165.42
2318,188.64
2323,187.38
2331,187.98
2338,193.98
2345,174.3
2352,185.52
2359,174.66
2367,179.4
2373,142.02
2380,163.98
2388,194.1
2394,196.62
2401,195.72
2409,188.64
2415,179.28
2420,119.34
2430,185.34
2437,140.52
2444,180.72
2450,170.7
2457,184.8
2465,177.36
2472,177.42
2480,183.9
2486,194.1
2494,176.82
2499,180.66
2507,152.52
2513,186.84
2518,172.14
2528,170.4
2533,141.72
2542,117.12
2556,117.12
2557,193.92
2563,193.92
2571,190.2
2577,233.64
2583,210.3
2591,168.78
2605,222.42
2612,97.92
2619,172.8
2624,188.1
2632,172.02
2639,174
2647,180.84
2653,194.4
2660,188.04
2667,164.88
2673,196.08
2682,191.4
2690,164.4
2695,121.68
2702,179.7
2709,208.56
2716,199.14
2723,213.3
2730,215.88
2737,215.04
2745,220.02
2751,217.26
2758,208.86
2765,228.72
2771,183
2779,227.16
2786,196.26
2793,220.86
2801,226.44
2807,218.22
2814,228.24
2821,220.56
2828,218.28
2835,223.62
2844,215.1
2849,213.96
2856,214.56
2863,212.52
2870,213.84
2879,212.88
2883,212.82
2891,194.22
2898,210.3
2905,212.4
2922,212.4
2923,209.209090909091
2927,208.5
2933,188.46
2941,208.98
2949,200.46
2955,223.98
2961,283.68
2975,225.36
2982,184.62
2989,215.28
2998,233.4
3002,231.72
3010,178.08
3016,127.8
3025,116.4
3030,223.38
3039,217.5
3045,227.46
3052,226.32
3060,213.9
3066,230.1
3073,193.08
3080,172.68
3087,219.6
3093,216.6
