JDAY	WSE
1685	119.05
1686	119.03
1687	119.03
1688	119.01
1689	119.01
1690	119.00
1691	119.00
1692	119.00
1693	119.00
1694	119.00
1695	118.99
1696	118.98
1697	118.97
1698	118.97
1699	118.97
1700	118.97
1701	118.96
1702	118.95
1703	118.95
1704	118.95
1705	118.97
1706	119.00
1707	119.02
1708	119.02
1709	119.02
1710	119.01
1711	119.01
1712	119.01
1713	119.01
1714	119.01
1715	119.01
1716	118.98
1717	118.99
1718	119.00
1719	119.00
1720	119.00
1721	119.00
1722	119.00
1723	118.99
1724	118.99
1725	118.97
1726	118.96
1727	118.96
1728	118.95
1729	118.95
1730	118.95
1731	118.94
1732	118.95
1733	118.96
1734	118.97
1735	118.97
1736	118.98
1737	118.98
1738	118.98
1739	118.99
1740	119.01
1741	119.02
1742	119.03
1743	119.02
1744	119.02
1745	119.01
1746	118.99
1747	118.98
1748	118.97
1749	118.96
1750	118.95
1751	118.96
1752	118.95
1753	118.96
1754	118.95
1755	118.95
1756	118.95
1757	118.95
1758	118.95
1759	118.94
1760	118.95
1761	118.96
1762	118.97
1763	118.97
1764	118.99
1765	118.99
1766	119.02
1767	119.03
1768	119.03
1769	119.03
1770	119.03
1771	119.03
1772	119.05
1773	119.05
1774	119.04
1775	119.04
1776	119.03
1777	119.02
1778	119.02
1779	119.00
1780	119.00
1781	118.98
1782	118.98
1783	118.98
1784	118.98
1785	118.97
1786	118.97
1787	118.96
1788	118.96
1789	118.96
1790	118.95
1791	118.95
1792	118.98
1793	119.04
1794	119.05
1795	119.05
1796	119.06
1797	119.06
1798	119.07
1799	119.08
1800	119.08
1801	119.08
1802	119.09
1803	119.10
1804	119.10
1805	119.12
1806	119.11
1807	119.10
1808	119.09
1809	119.07
1810	119.09
1811	119.08
1812	119.05
1813	119.05
1814	119.04
1815	119.01
1816	119.01
1817	119.00
1818	119.00
1819	119.02
1820	119.02
1821	119.02
1822	119.02
1823	119.02
1824	119.02
1825	119.05
1826	119.06
1827	119.06
1828	119.06
1829	119.05
1830	119.01
1831	118.98
1832	118.96
1833	118.94
1834	118.91
1835	118.94
1836	118.97
1837	119.00
1838	119.03
1839	119.05
1840	119.04
1841	119.06
1842	119.06
1843	119.05
1844	119.04
1845	119.03
1846	119.01
1847	118.99
1848	118.97
1849	118.94
1850	118.91
1851	118.91
1852	118.93
1853	118.94
1854	118.95
1855	118.96
1856	118.96
1857	118.92
1858	118.88
1859	118.85
1860	118.83
1861	118.80
1862	118.78
1863	118.77
1864	118.74
1865	118.70
1866	118.67
1867	118.65
1868	118.61
1869	118.58
1870	118.54
1871	118.55
1872	118.51
1873	118.48
1874	118.45
1875	118.43
1876	118.41
1877	118.38
1878	118.35
1879	118.32
1880	118.30
1881	118.28
1882	118.30
1883	118.34
1884	118.38
1885	118.41
1886	118.45
1887	118.48
1888	118.52
1889	118.49
1890	118.45
1891	118.42
1892	118.39
1893	118.35
1894	118.32
1895	118.29
1896	118.32
1897	118.37
1898	118.41
1899	118.41
1900	118.39
1901	118.38
1902	118.37
1903	118.35
1904	118.36
1905	118.36
1906	118.40
1907	118.41
1908	118.41
1909	118.41
1910	118.41
1911	118.39
1912	118.38
1913	118.35
1914	118.34
1915	118.47
1916	118.77
1917	118.97
1918	119.09
1919	119.13
1920	119.16
1921	119.18
1922	119.17
1923	119.15
1924	119.16
1925	119.16
1926	119.14
1927	119.12
1928	119.08
1929	119.05
1930	119.02
1931	119.00
1932	119.03
1933	119.03
1934	119.02
1935	119.01
1936	118.98
1937	118.95
1938	118.94
1939	118.94
1940	118.95
1941	118.98
1942	119.00
1943	119.04
1944	119.06
1945	119.07
1946	119.06
1947	119.11
1948	119.18
1949	119.20
1950	119.19
1951	119.17
1952	119.14
1953	119.11
1954	119.08
1955	119.06
1956	119.05
1957	119.06
1958	119.05
1959	119.04
1960	119.02
1961	118.98
1962	118.95
1963	118.92
1964	118.92
1965	118.91
1966	118.92
1967	118.94
1968	118.94
1969	118.92
1970	118.93
1971	118.93
1972	118.92
1973	118.90
1974	118.94
1975	118.97
1976	118.98
1977	119.02
1978	119.04
1979	119.04
