$Withdrawal from North Dyke + Towns, Nashua River, Wachusett Aqueduct, Spillway, , , , 
FROM: 2017_WaterBalance, , , , ,,,
JDAY,ND+T,Nash,Wach,Spill,,,
402,0.07,2.26,0,0,,,
403,0.08,2.26,0,0,,,
404,0.06,1.06,0,0,,,
405,0.06,0.07,0,0,,,
406,0.08,0.07,0,0,,,
407,0.07,0.07,0,0,,,
408,0.06,0.07,0,0,,,
409,0.07,0.07,0,0,,,
410,0.06,0.07,0,0,,,
411,0.07,0.07,0,0,,,
412,0.07,0.07,0,0,,,
413,0.07,0.07,0,0,,,
414,0.07,0.07,0,0,,,
415,0.06,0.07,0,0,,,
416,0.08,0.07,0,0,,,
417,0.07,0.07,0,0,,,
418,0.08,0.07,0,0,,,
419,0.06,0.07,0,0,,,
420,0.08,0.07,0,0,,,
421,0.05,0.07,0,0,,,
422,0.07,0.07,0,0,,,
423,0.07,0.07,0,0,,,
424,0.08,0.07,0,0,,,
425,0.07,1.33,0,0,,,
426,0.07,3.58,0,0,,,
427,0.07,4.46,0,0,,,
428,0.07,4.46,0,0,,,
429,0.07,4.46,0,0,,,
430,0.07,4.46,0,0,,,
431,0.08,4.46,0,0,,,
432,0.07,4.46,1.05,0,,,
433,0.07,4.46,2.19,0,,,
434,0.05,4.46,2.19,0,,,
435,0.08,4.46,2.19,0,,,
436,0.06,4.46,2.19,0,,,
437,0.07,4.46,1,0,,,
438,0.07,4.46,0,41.11,,,
439,0.07,4.46,0,93.69,,,
440,0.07,4.46,0,60.51,,,
441,0.07,4.46,0,43.1,,,
442,0.07,4.46,0,29.88,,,
443,0.07,4.46,0,19.15,,,
444,0.09,4.46,0,14.09,,,
445,0.08,4.46,0,11.24,,,
446,0.07,1.2,0,18.68,,,
447,0.09,0.08,0,31.09,,,
448,0.07,0.08,0,32.3,,,
449,0.08,0.08,0,24.27,,,
450,0.07,0.08,0,19.15,,,
451,0.08,0.08,0,14.5,,,
452,0.08,1.06,0,12.87,,,
453,0.07,0.08,0,24.27,,,
454,0.08,0.08,0,80.57,,,
455,0.07,0.08,0,68.33,,,
456,0.08,0.08,0,49.33,,,
457,0.07,0.08,0,31.69,,,
458,0.10,0.08,0,23.25,,,
459,0.07,0.08,0,18.22,,,
460,0.09,1.3,0,14.3,,,
461,0.06,4.21,0,11.65,,,
462,0.09,4.46,0,8.17,,,
463,0.06,4.46,0,10.98,,,
464,0.07,4.46,0,10.63,,,
465,0.06,4.46,0,10.16,,,
466,0.08,4.46,0,12.3,,,
467,0.07,4.46,1.44,11.87,,,
468,0.06,4.46,2.19,12.38,,,
469,0.07,4.46,2.19,10.82,,,
470,0.07,4.46,2.19,9.2,,,
471,0.06,4.46,2.19,8.25,,,
472,0.06,4.46,2.19,9.53,,,
473,0.06,4.46,2.19,8.92,,,
474,0.08,4.46,2.19,8.63,,,
475,0.05,4.46,2.19,5.98,,,
476,0.08,2.56,2.19,3.1,,,
477,0.05,4.46,2.19,6.47,,,
478,0.08,4.46,2.19,7.19,,,
479,0.07,4.46,2.19,5.51,,,
480,0.08,4.46,2.19,5.1,,,
481,0.09,4.46,2.19,5.65,,,
482,0.10,4.46,0.57,3.33,,,
483,0.09,4.46,0,4.06,,,
484,0.09,4.46,0,3.45,,,
485,0.07,4.46,0,1.47,,,
486,0.09,4.13,0.3,0.37,,,
487,0.09,0.73,2.19,0.05,,,
488,0.07,0.08,0.59,0,,,
489,0.08,0.08,0,0,,,
490,0.08,0.08,0,0,,,
491,0.08,0.08,0,0,,,
492,0.08,0.08,0,0,,,
493,0.08,0.08,0,0,,,
494,0.08,0.08,0,0,,,
495,0.09,1.35,0,0,,,
496,0.07,2.36,0,0,,,
497,0.08,2.29,0,0,,,
498,0.07,2.15,0,0,,,
499,0.08,2.29,0,0,,,
500,0.09,2.28,0,0,,,
501,0.08,2.28,0,0,,,
502,0.10,1.02,0,0,,,
503,0.07,0.08,0,0,,,
504,0.08,0.08,0,0,,,
505,0.08,0.06,0,0,,,
506,0.09,1.21,0.59,0,,,
507,0.07,2.28,2.19,0,,,
508,0.11,2.28,2.19,0,,,
509,0.09,2.28,2.19,0,,,
510,0.10,2.28,1.26,0,,,
511,0.10,1.88,0,0,,,
512,0.10,2.28,0,0,,,
513,0.10,2.28,0,0,,,
514,0.09,2.28,0,0,,,
515,0.09,2.28,0,0,,,
516,0.10,2.29,0,0,,,
517,0.09,2.28,0,0,,,
518,0.09,2.28,0,0,,,
519,0.09,2.77,0,0,,,
520,0.09,4.15,0,0,,,
521,0.10,4.46,0,0,,,
522,0.09,4.46,0,0,,,
523,0.08,4.46,0,0,,,
524,0.09,4.46,0,0,,,
525,0.09,4.46,0,0,,,
526,0.07,4.46,0,0,,,
527,0.09,4.46,0.98,0,,,
528,0.10,4.46,2.19,0,,,
529,0.08,4.46,2.19,0,,,
530,0.08,4.46,2.19,0,,,
531,0.11,4.46,2.19,0,,,
532,0.09,4.46,2.19,0,,,
533,0.09,4.46,2.19,0,,,
534,0.11,4.46,2.19,0,,,
535,0.11,4.46,0.68,0,,,
536,0.11,3.4,0,0,,,
537,0.10,2.28,0,0,,,
538,0.10,2.29,0,0,,,
539,0.10,3.48,0,0,,,
540,0.09,4.46,0,0,,,
541,0.10,4.45,1.53,0,,,
542,0.10,4.45,2.19,0,,,
543,0.11,4.45,2.19,0,,,
544,0.10,3.24,2.19,0,,,
545,0.11,0.54,2.19,0,,,
546,0.12,0.08,1.23,0,,,
547,0.11,0.08,0,0,,,
548,0.11,0.08,0,0,,,
549,0.12,0.08,0,0,,,
550,0.11,0.08,0,0,,,
551,0.13,0.08,0,0,,,
552,0.13,0.08,0,0,,,
553,0.13,0.08,0,0,,,
554,0.13,0.08,0,0,,,
555,0.12,0.08,0,0,,,
556,0.09,0.08,0,0,,,
557,0.09,0.08,0,0,,,
558,0.13,0.76,0,0,,,
559,0.13,2,0,0,,,
560,0.12,2.28,0,0,,,
561,0.11,2.28,0,0,,,
562,0.12,2.28,0,0,,,
563,0.09,2.28,0,0,,,
564,0.11,2.28,0,0,,,
565,0.10,2.28,0,0,,,
566,0.10,2.28,0,0,,,
567,0.10,2.28,0,0,,,
568,0.09,2.28,0,0,,,
569,0.09,2.28,0,0,,,
570,0.09,2.28,0,0,,,
571,0.09,2.28,0,0,,,
572,0.10,2.28,0,0,,,
573,0.10,1.51,0,0,,,
574,0.11,0.34,0,0,,,
575,0.10,0.08,0,0,,,
576,0.11,0.08,0,0,,,
577,0.11,0.08,0,0,,,
578,0.11,0.08,0,0,,,
579,0.11,0.08,0,0,,,
580,0.11,0.08,0,0,,,
581,0.11,0.08,0,0,,,
582,0.10,0.05,0,0,,,
583,0.10,0.08,0,0,,,
584,0.11,0.08,0,0,,,
585,0.11,0.08,0,0,,,
586,0.12,0.08,0,0,,,
587,0.11,0.08,0,0,,,
588,0.12,0.08,0,0,,,
589,0.11,0.08,0,0,,,
590,0.10,0.08,0,0,,,
591,0.11,0.08,0,0,,,
592,0.10,0.08,0,0,,,
593,0.10,0.08,0,0,,,
594,0.10,0.08,0,0,,,
595,0.11,0.08,0,0,,,
596,0.11,0.08,0,0,,,
597,0.11,0.08,0,0,,,
598,0.10,0.08,0,0,,,
599,0.09,1.06,0,0,,,
600,0.08,3.52,0,0,,,
601,0.08,4.46,0,0,,,
602,0.08,4.46,0,0,,,
603,0.08,4.46,0,0,,,
604,0.09,4.46,0,0,,,
605,0.09,4.46,0,0,,,
606,0.10,4.46,0,0,,,
607,0.09,4.02,0,0,,,
608,0.11,2.12,0,0,,,
609,0.11,1.92,0,1.25,,,
610,0.10,4.46,0,0,,,
611,0.09,4.46,0,0,,,
612,0.08,3.31,0,0,,,
613,0.09,0.57,0,0,,,
614,0.09,0.08,0,0,,,
615,0.10,0.08,0,0,,,
616,0.09,0.08,0,0,,,
617,0.08,0.08,0,0,,,
618,0.08,0.08,0,0,,,
619,0.08,0.08,0,0,,,
620,0.09,0.08,0,0,,,
621,0.10,0.08,0,0,,,
622,0.08,0.08,0,0,,,
623,0.08,0.08,0,0,,,
624,0.09,0.08,0,0,,,
625,0.08,0.08,0,0,,,
626,0.08,0.08,0,0,,,
627,0.09,0.08,0,0,,,
628,0.10,0.08,0,0,,,
629,0.09,0.08,0,0,,,
630,0.09,0.08,0,0,,,
631,0.09,0.08,0,0,,,
632,0.09,0.08,0,0,,,
633,0.09,0.08,0,0,,,
634,0.09,0.08,0,0,,,
635,0.09,0.08,0,0,,,
636,0.07,0.08,0,0,,,
637,0.08,0.08,0,0,,,
638,0.07,0.08,0,0,,,
639,0.07,0.08,0,0,,,
640,0.06,0.08,0,0,,,
641,0.08,0.08,0,0,,,
642,0.11,0.08,0,0,,,
643,0.10,0.08,0,0,,,
644,0.10,0.08,0,0,,,
645,0.10,0.08,0,0,,,
646,0.08,0.08,0,0,,,
647,0.08,0.08,0,0,,,
648,0.08,0.08,0,0,,,
649,0.09,0.08,0,0,,,
650,0.09,0.08,0,0,,,
651,0.08,0.08,0,0,,,
652,0.08,0.08,0,0,,,
653,0.07,0.08,0,0,,,
654,0.06,0.08,0,0,,,
655,0.07,0.08,0,0,,,
656,0.08,0.08,0,0,,,
657,0.08,0.08,0,0,,,
658,0.07,0.08,0,0,,,
659,0.07,0.08,0,0,,,
660,0.07,0.08,1.51,0,,,
661,0.06,0.08,2.19,0,,,
662,0.07,0.08,2.19,0,,,
663,0.08,0.08,2.19,0,,,
664,0.07,0.08,2.19,0,,,
665,0.07,0.08,2.19,0,,,
666,0.07,0.08,2.19,0,,,
667,0.06,0.08,2.19,0,,,
668,0.06,0.08,2.19,0,,,
669,0.07,0.08,2.19,0,,,
670,0.07,0.08,2.19,0,,,
671,0.07,0.08,2.19,0,,,
672,0.07,0.08,2.19,0,,,
673,0.07,0.08,0.57,0,,,
674,0.07,0.08,0,0,,,
675,0.06,0.08,0,0,,,
676,0.07,0.08,0,0,,,
677,0.07,0.08,0,0,,,
678,0.07,0.08,0,0,,,
679,0.07,0.08,0,0,,,
680,0.06,0.08,0,0,,,
681,0.07,0.08,0,0,,,
682,0.06,0.08,0,0,,,
683,0.07,0.08,0,0,,,
684,0.07,0.08,0,0,,,
685,0.07,0.08,0,0,,,
686,0.07,0.08,0,0,,,
687,0.07,0.08,0,0,,,
688,0.07,0.08,0,0,,,
689,0.07,0.08,0,0,,,
690,0.08,0.08,0,0,,,
691,0.08,0.08,0,0,,,
692,0.07,0.08,0.74,0,,,
693,0.08,0.08,1.1,0,,,
694,0.07,0.08,1.1,0,,,
695,0.06,0.08,1.1,0,,,
696,0.07,0.08,1.1,0,,,
697,0.07,0.08,1.1,0,,,
698,0.08,0.08,1.1,0,,,
699,0.07,0.08,0.45,0,,,
700,0.09,0.08,0,0,,,
701,0.07,0.08,0,0,,,
702,0.07,0.08,0,0,,,
703,0.07,0.08,0,0,,,
704,0.07,0.08,0,0,,,
705,0.08,0.08,0,0,,,
706,0.07,0.08,0.45,0,,,
707,0.08,0.08,0.35,0,,,
708,0.07,0.08,0,0,,,
709,0.07,0.08,0,0,,,
710,0.07,0.08,0,0,,,
711,0.08,0.08,0,0,,,
712,0.08,0.08,0,0,,,
713,0.07,0.08,0,0,,,
714,0.08,0.85,0,0,,,
715,0.08,1.95,0,0,,,
716,0.08,2.27,0,0,,,
717,0.07,2.27,0,0,,,
718,0.08,2.27,0,0,,,
719,0.08,1.49,0,0,,,
720,0.07,0.37,0,0,,,
721,0.07,0.08,0,0,,,
722,0.07,0.08,0,0,,,
723,0.07,0.08,0,0,,,
724,0.07,0.08,0,0,,,
725,0.07,0.08,0,0,,,
726,0.07,0.08,0,0,,,
727,0.07,0.08,0,0,,,
728,0.08,0.98,0,0,,,
729,0.07,3.49,0,0,,,
730,0.09,4.46,0,0,,,
731,0.08,4.46,0,0,,,
732,0.08,4.46,0,0,,,
733,0.08,4.46,0,0,,,
734,0.08,4.46,0,0,,,
735,0.08,3.46,0,0,,,
736,0.07,1.02,0,0,,,
737,0.07,0.08,0,0,,,
738,0.08,0.08,0,0,,,
739,0.08,0.08,0,0,,,
740,0.07,0.08,0,0,,,
741,0.07,0.08,0,0,,,
742,0.09,0.08,0,0,,,
743,0.08,0.08,0,0,,,
744,0.07,0.08,0,0,,,
745,0.07,0.08,0,0,,,
746,0.07,0.08,0,0,,,
747,0.07,0.08,0,0,,,
748,0.08,0.08,0,0,,,
749,0.07,0.08,0,0,,,
750,0.09,0.08,0,0,,,
751,0.07,0.08,0,0,,,
752,0.07,0.08,0,0,,,
753,0.07,0.08,0,0,,,
754,0.08,0.08,0,0,,,
755,0.08,0.08,0,0,,,
756,0.08,0.08,0,0,,,
757,0.08,0.08,0,0,,,
758,0.08,0.08,0,0,,,
759,0.08,0.08,0,0,,,
760,0.09,0.08,0,0,,,
761,0.09,0.08,0,0,,,
762,0.09,0.08,0,0,,,
763,0.09,1.27,0,0,,,
764,0.09,3.02,0,0,,,
765,0.09,2.72,0,0,,,
766,0.09,1.59,0,0,,,
767,0.08,0.49,0,0,,,
768,0.09,0.08,0,0,,,
769,0.08,0.08,0,0,,,
770,0.07,0.08,0,0,,,
771,0.07,0.08,0,0,,,
772,0.08,0.08,0,0,,,
773,0.07,0.08,0,0,,,
774,0.08,0.08,0,0,,,
775,0.07,0.08,0,0,,,
776,0.07,0.08,0,0,,,
