$Cosgrove Out, 
FROM: 2017_WaterBalance, 
JDAY,m3/s
1032,7.160649
1033,7.686696
1034,7.219144
1035,7.664009
1036,7.442568
1037,7.642131
1038,7.336361
1039,7.507781
1040,7.268524
1041,7.491836
1042,7.728347
1043,7.310924
1044,7.191607
1045,7.623805
1046,7.16297
1047,7.158917
1048,7.523946
1049,7.314695
1050,7.247072
1051,7.501253
1052,7.24868
1053,7.10405
1054,7.456895
1055,7.248501
1056,7.105843
1057,7.382013
1058,6.794853
1059,6.624729
1060,6.833377
1061,6.916004
1062,7.505596
1063,7.169021
1064,7.101987
1065,7.357979
1066,7.152076
1067,7.032605
1068,7.412512
1069,7.223158
1070,7.172775
1071,7.080833
1072,7.505432
1073,7.278297
1074,7.003237
1075,7.367166
1076,7.345761
1077,7.275433
1078,7.331672
1079,7.149114
1080,7.143031
1081,7.134567
1082,7.287406
1083,7.342669
1084,7.460804
1085,7.245724
1086,7.043768
1087,6.938412
1088,7.251341
1089,6.292281
1090,6.725857
1091,6.847733
1092,7.030884
1093,7.036874
1094,7.098937
1095,7.070488
1096,7.0235
1097,7.03119
1098,7.49221
1099,7.17181
1100,7.47888
1101,7.22048
1102,7.31003
1103,7.21499
1104,7.50351
1105,7.36366
1106,7.44928
1107,7.50065
1108,7.0621
1109,7.1765
1110,7.25297
1111,7.93551
1112,7.61916
1113,7.76083
1114,7.7268
1115,7.91894
1116,7.91072
1117,7.47887
1118,8.34271
1119,8.35449
1120,7.95936
1121,8.71656
1122,8.51998
1123,7.42448
1124,7.84615
1125,7.9151
1126,7.53337
1127,7.5339
1128,7.70921
1129,7.20884
1130,7.45711
1131,7.63704
1132,7.74672
1133,7.43059
1134,7.52916
1135,7.39349
1136,7.38185
1137,7.42097
1138,7.3705
1139,7.8242
1140,7.41054
1141,7.36943
1142,7.35418
1143,7.39375
1144,7.16501
1145,6.87054
1146,7.18783
1147,7.53688
1148,7.04843
1149,7.23759
1150,7.2659
1151,7.09881
1152,7.30293
1153,7.62157
1154,7.27869
1155,7.35103
1156,7.13844
1157,7.41701
1158,7.1327
1159,7.24406
1160,7.48935
1161,7.28971
1162,7.49196
1163,7.34059
1164,7.17954
1165,7.10229
1166,7.31577
1167,7.72997
1168,7.39002
1169,7.16317
1170,7.43071
1171,7.03985
1172,7.19418
1173,7.34309
1174,7.71823
1175,7.67747
1176,7.62889
1177,7.5674
1178,7.6122
1179,7.30889
1180,7.27402
1181,7.45396
1182,7.56428
1183,7.55519
1184,7.47777
1185,8.14839
1186,7.58669
1187,7.14082
1188,8.02967
1189,8.24426
1190,8.47608
1191,7.37866
1192,8.95367
1193,8.82485
1194,7.27555
1195,7.91347
1196,7.98763
1197,7.78688
1198,7.64305
1199,7.66114
1200,7.82113
1201,7.83188
1202,8.96758
1203,8.37393
1204,8.50472
1205,8.50405
1206,8.46391
1207,8.45639
1208,7.63931
1209,7.94944
1210,7.71784
1211,8.04873
1212,7.98015
1213,8.05825
1214,7.86742
1215,8.39591
1216,8.51837
1217,7.75198
1218,7.70511
1219,7.81748
1220,7.78787
1221,7.39053
1222,7.7184
1223,8.54441
1224,7.66069
1225,7.818
1226,8.01778
1227,7.69649
1228,8.15548
1229,8.02227
1230,8.48347
1231,8.1541
1232,7.848
1233,8.11414
1234,8.4626
1235,8.85229
1236,9.09229
1237,8.61799
1238,8.17481
1239,8.40337
1240,8.62859
1241,8.53148
1242,8.78316
1243,8.67647
1244,8.97077
1245,9.11204
1246,8.68073
1247,8.83739
1248,8.9346
1249,8.17483
1250,7.72125
1251,7.97607
1252,7.80663
1253,7.78564
1254,8.44936
1255,8.18038
1256,8.22004
1257,8.74772
1258,9.42825
1259,8.70932
1260,8.2888
1261,8.36365
1262,8.75776
1263,8.4709
1264,8.7354
1265,9.54349
1266,9.67117
1267,11.6036
1268,11.43227
1269,11.57358
1270,8.84718
1271,8.95587
1272,9.34309
1273,8.59438
1274,8.86248
1275,9.99145
1276,10.25509
1277,9.68865
1278,10.5859
1279,10.41989
1280,10.40523
1281,8.93559
1282,9.41862
1283,10.65768
1284,9.4877
1285,10.17803
1286,11.21387
1287,10.54334
1288,11.3528
1289,11.10141
1290,11.87324
1291,10.89049
1292,11.07247
1293,12.06962
1294,12.11728
1295,11.59204
1296,9.36514
1297,9.95489
1298,9.74423
1299,10.6369
1300,10.78543
1301,10.1555
1302,10.00894
1303,10.1065
1304,9.82759
1305,9.32656
1306,8.6813
1307,9.66293
1308,9.44584
1309,9.47898
1310,9.33902
1311,10.40449
1312,10.0617
1313,10.03742
1314,10.07754
1315,10.4124
1316,10.61843
1317,10.66471
1318,10.37623
1319,8.89907
1320,8.96324
1321,10.05677
1322,9.81018
1323,9.96145
1324,9.26079
1325,10.04128
1326,8.65364
1327,8.26027
1328,10.02214
1329,9.56166
1330,10.11687
1331,10.30882
1332,10.11316
1333,9.55115
1334,9.95384
1335,10.11427
1336,9.81228
1337,10.06768
1338,9.99779
1339,10.09195
1340,9.60438
1341,8.95143
1342,9.75929
1343,9.86404
1344,8.70139
1345,8.68857
1346,9.47862
1347,8.72273
1348,8.27657
1349,9.62656
1350,8.83306
1351,9.50161
1352,10.05389
1353,9.5813
1354,8.60873
1355,9.25874
1356,9.31063
1357,8.6909
1358,8.79471
1359,8.61468
1360,8.72141
1361,8.35461
1362,8.37455
1363,9.10536
1364,8.6236
1365,8.91004
1366,8.69462
1367,8.68152
1368,7.95001
1369,7.98523
1370,8.51774
1371,8.22684
1372,8.41989
1373,8.29831
1374,8.39215
1375,7.92265
1376,7.6574
1377,8.25654
1378,8.05556
1379,7.74923
1380,7.75362
1381,7.72632
1382,7.15873
1383,6.89337
1384,8.0745
1385,8.24802
1386,7.44532
1387,7.82306
1388,7.74157
1389,7.71119
1390,7.97451
1391,7.90509
1392,7.68209
1393,8.12732
1394,7.68857
1395,7.85019
1396,7.68791
1397,7.70014
1398,7.56268
1399,7.52005
1400,7.74307
1401,7.52648
1402,7.41977
1403,7.63585
1404,7.54471
1405,7.5346
1406,7.58717
1407,7.64512
1408,7.2855
1409,7.49193
1410,7.67684
1411,7.361
1412,7.83845
1413,7.62732
1414,7.765
1415,7.53751
1416,7.38838
1417,7.72277
1418,7.71671
1419,7.60234
1420,7.691
1421,7.51293
1422,7.19554
1423,6.64858
1424,7.25079
1425,7.46607
1426,7.58601
1427,7.48379
1428,7.89965
1429,7.78
1430,7.47923
1431,7.33146
1432,7.54808
1433,7.55367
1434,7.68787
1435,7.77425
1436,7.53894
1437,7.44558
1438,7.25745
1439,7.52064
1440,7.47653
1441,7.42993
1442,7.41872
1443,7.2792
1444,7.43339
1445,7.07476
1446,7.19734
1447,7.42648
1448,7.33047
1449,7.65129
1450,7.651
1451,7.20518
1452,7.3203
1453,7.42444
1454,7.50671
1455,6.59998
1456,7.34331
1457,7.29378
1458,7.77347
1459,7.17139
1460,7.12464
1461,7.0235
1462,7.382
1463,7.598
1464,7.9142
1465,7.613
1466,7.4113
1467,8.0273
1468,7.7657
1469,7.5912
1470,7.8036
1471,7.6444
1472,7.8975
1473,7.5624
1474,7.517
1475,7.8188
1476,8.0291
1477,7.6636
1478,7.654
1479,7.568
1480,7.7249
1481,7.4915
1482,7.5832
1483,7.7333
1484,8.1427
1485,7.801
1486,7.7528
1487,7.7132
1488,8.309
1489,7.8989
1490,7.8761
1491,8.0918
1492,8.4237
1493,7.7193
1494,7.8701
1495,7.816
1496,7.9133
1497,7.8444
1498,7.9367
1499,7.5565
1500,7.9137
1501,6.967
1502,7.806
1503,7.9267
1504,7.8468
1505,7.5799
1506,7.5732
1507,7.75
1508,7.7386
1509,7.5751
1510,7.5895
1511,7.8298
1512,7.8538
1513,7.9904
1514,7.3251
1515,7.3486
1516,7.3899
1517,7.8543
1518,7.4796
1519,7.4572
1520,7.6212
1521,7.6323
1522,7.4161
1523,7.3945
1524,7.5301
1525,7.4563
1526,7.4211
1527,7.3262
1528,7.2672
1529,7.2501
1530,7.5515
1531,7.6539
1532,7.1838
1533,7.5339
1534,7.4154
1535,7.5927
1536,7.2959
1537,7.3208
1538,7.482
1539,7.6645
1540,7.3016
1541,7.5614
1542,7.542
1543,7.333
1544,7.3895
1545,7.4901
1546,7.6
1547,7.6545
1548,7.3564
1549,7.4456
1550,7.3026
1551,7.5324
1552,7.3701
1553,7.6307
1554,7.583
1555,7.6071
1556,7.2901
1557,7.2344
1558,7.6683
1559,7.6492
1560,7.3709
1561,7.5144
1562,7.602
1563,7.258
1564,7.2376
1565,7.1208
1566,7.2038
1567,7.6091
1568,7.6641
1569,7.407
1570,7.1953
1571,7.1169
1572,7.269
1573,7.4991
1574,7.3634
1575,7.5059
1576,7.6253
1577,7.6313
1578,7.6055
1579,7.7076
1580,8.109
1581,8.0205
1582,8.3672
1583,8.372
1584,8.2676
1585,8.4992
1586,8.2315
1587,8.6801
1588,8.8341
1589,8.6869
1590,8.1739
1591,8.5628
1592,7.8482
1593,8.0126
1594,8.5736
1595,8.304
1596,8.6721
1597,8.6982
1598,9.3164
1599,8.7132
1600,8.8369
1601,8.7823
1602,8.88
1603,8.2644
1604,8.3161
1605,8.2089
1606,7.2341
1607,7.1824
1608,8.288
1609,8.6569
1610,8.354
1611,9.1853
1612,9.7929
1613,10.1362
1614,10.1902
1615,9.1971
1616,8.8939
1617,9.7541
1618,9.1619
1619,8.2786
1620,7.8307
1621,8.6651
1622,8.87
1623,7.8831
1624,8.2978
1625,8.1725
1626,7.9228
1627,8.0771
1628,8.2575
1629,9.1254
1630,8.1841
1631,8.4715
1632,8.5137
1633,9.0827
1634,9.3159
1635,9.3458
1636,10.9029
1637,9.8261
1638,9.8738
1639,8.6088
1640,8.7523
1641,8.5763
1642,8.7246
1643,9.3581
1644,8.6522
1645,9.3229
1646,9.5897
1647,10.3495
1648,10.1356
1649,9.6983
1650,10.6303
1651,9.5309
1652,9.7726
1653,9.4183
1654,9.5374
1655,8.8038
1656,9.7728
1657,11.1361
1658,11.0256
1659,11.8951
1660,11.898
1661,12.4576
1662,11.2725
1663,10.893
1664,10.9789
1665,9.67
1666,9.198
1667,9.1891
1668,8.1422
1669,8.7216
1670,8.6432
1671,9.6645
1672,8.974
1673,9.7561
1674,9.5663
1675,9.2691
1676,8.541
1677,9.0419
1678,9.5891
1679,9.4403
1680,10.0089
1681,9.2881
1682,8.8441
1683,8.4602
1684,8.5452
1685,9.7003
1686,9.0671
1687,9.392
1688,9.6182
1689,9.6505
1690,9.4498
1691,9.1147
1692,10.1408
1693,10.1792
1694,10.5262
1695,10.2553
1696,10.0344
1697,9.4439
1698,9.6301
1699,9.8847
1700,9.951
1701,10.2271
1702,9.3105
1703,10.1003
1704,8.9039
1705,8.6403
1706,8.7304
1707,8.939
1708,9.615
1709,8.902
1710,9.1624
1711,8.7766
1712,9.2052
1713,9.6636
1714,9.1689
1715,10.3228
1716,10.5957
1717,9.16
