$West Boylston Daily Discharge,
Auto-Generated,
JDAY,Flow
991,0.0136975792
992,0.0126030995
993,0.0114422877
994,0.0115749519
995,0.0124704353
996,0.016782022
997,0.0752869365
998,0.0656687816
999,0.0411259036
1000,0.0285559702
1001,0.0230835717
1002,0.0524023611
1003,0.062020516
1004,0.0490857559
1005,0.0371459775
1006,0.0308444277
1007,0.037477638
1008,0.0487540954
1009,0.0361509959
1010,0.0271961621
1011,0.0231499038
1012,0.0202312913
1013,0.0178433356
1014,0.0160855349
1015,0.0145930626
1016,0.0236473946
1017,0.0411259036
1018,0.0676587447
1019,0.0474274534
1020,0.0341610329
1021,0.0289207967
1022,0.0338293723
1023,0.0835784493
1024,0.0699803683
1025,0.0494174165
1026,0.038140959
1027,0.0326022284
1028,0.030346937
1029,0.0300152764
1030,0.0305127672
1031,0.0500807375
1032,0.0424525457
1033,0.0477591139
1034,0.0517390401
1035,0.049749077
1036,0.0517390401
1037,0.0533973426
1038,0.0573772688
1039,0.0527340216
1040,0.0444425088
1041,0.0391359406
1042,0.0361509959
1043,0.0334977118
1044,0.0354876749
1045,0.0596988924
1046,0.0477591139
1047,0.03880428
1048,0.0364826564
1049,0.0351560144
1050,0.0334977118
1051,0.0371459775
1052,0.0315077488
1053,0.0275278226
1054,0.0252393651
1055,0.0244433798
1056,0.0246092101
1057,0.0606938739
1058,0.0742919549
1059,0.0543923242
1060,0.0427842062
1061,0.0361509959
1062,0.0334977118
1063,0.0318394093
1064,0.0792668626
1065,0.0699803683
1066,0.0517390401
1067,0.0427842062
1068,0.0364826564
1069,0.0341610329
1070,0.0328012248
1071,0.0401309221
1072,0.1187344637
1073,0.0958498883
1074,0.0650054606
1075,0.0484224349
1076,0.0397992616
1077,0.0324363982
1078,0.0296172838
1079,0.0301147746
1080,0.0319057414
1081,0.0313750845
1082,0.0296172838
1083,0.0288544646
1084,0.0284896381
1085,0.0289207967
1086,0.0421208852
1087,0.0593672319
1088,0.0596988924
1089,0.0461008113
1090,0.038140959
1091,0.0351560144
1092,0.0613571949
1093,0.0524023611
1094,0.0451058298
1095,0.0404625826
1096,0.037477638
1097,0.0348243539
1098,0.0309770919
1099,0.0263338447
1100,0.0260353503
1101,0.0250403687
1102,0.0244433798
1103,0.0233489001
1104,0.0221880883
1105,0.0212594389
1106,0.0208946123
1107,0.0217900957
1108,0.0253720293
1109,0.0239458891
1110,0.0186061548
1111,0.0166825238
1112,0.0200986271
1113,0.0235147304
1114,0.021955926
1115,0.0192363098
1116,0.0182744943
1117,0.017478509
1118,0.018771985
1119,0.0241448854
1120,0.0304464351
1121,0.0259690182
1122,0.0517390401
1123,0.0716386708
1124,0.0490857559
1125,0.0384726195
1126,0.0315740809
1127,0.0283238078
1128,0.0262675126
1129,0.0254051953
1130,0.024576044
1131,0.0235810625
1132,0.022652413
1133,0.0218564278
1134,0.0209609444
1135,0.0201317931
1136,0.0196674684
1137,0.0186724869
