"","Date","JDAY","Temperature","Specific Conductivity","TDS"
"57",2018-02-26,57,3.71263541666667,142.457114583333,85.47426875
"58",2018-02-27,58,3.79148958333333,142.66046875,85.59628125
"59",2018-02-28,59,3.97028125,140.756635416667,84.45398125
"60",2018-03-01,60,3.92896875,138.97025,83.38215
"61",2018-03-02,61,3.86095833333333,145.19021875,87.11413125
"62",2018-03-03,62,3.85884375,145.528364583333,87.31701875
"63",2018-03-04,63,3.83532291666667,145.859385416667,87.51563125
"64",2018-03-05,64,3.81795833333333,146.575166666667,87.9451
"65",2018-03-06,65,3.89360416666667,147.119208333333,88.271525
"66",2018-03-07,66,3.79878125,147.478447916667,88.48706875
"67",2018-03-08,67,3.63385416666667,148.380927083333,89.02855625
"68",2018-03-09,68,3.39838541666667,150.004604166667,90.0027625
"69",2018-03-10,69,3.33278125,149.193989583333,89.51639375
"70",2018-03-11,70,3.32744565217391,148.875858695652,89.3255152173913
"71",2018-03-12,71,3.51432291666667,148.952666666667,89.3716
"72",2018-03-13,72,3.3551875,149.016677083333,89.41000625
"73",2018-03-14,73,3.11217708333333,150.710875,90.426525
"74",2018-03-15,74,3.25767708333333,150.018302083333,90.01098125
"75",2018-03-16,75,3.22351041666667,149.88659375,89.93195625
"76",2018-03-17,76,2.96871875,150.518229166667,90.3109375
"77",2018-03-18,77,2.91340625,150.56096875,90.33658125
"78",2018-03-19,78,2.84935416666667,150.771541666667,90.462925
"79",2018-03-20,79,2.8488125,150.8990625,90.5394375
"80",2018-03-21,80,3.07509375,151.83153125,91.09891875
"81",2018-03-22,81,3.10783333333333,153.3119375,91.9871625
"82",2018-03-23,82,3.09959375,153.491229166667,92.0947375
"83",2018-03-24,83,3.23447916666667,153.378885416667,92.02733125
"84",2018-03-25,84,3.33265625,153.33215625,91.99929375
"85",2018-03-26,85,3.465375,153.521770833333,92.1130625
"86",2018-03-27,86,3.55076041666667,152.993114583333,91.79586875
"87",2018-03-28,87,3.6345,153.046447916667,91.82786875
"88",2018-03-29,88,3.78742708333333,152.905520833333,91.7433125
"89",2018-03-30,89,4.0736875,153.161552083333,91.89693125
"90",2018-03-31,90,4.381875,153.222552083333,91.93353125
"91",2018-04-01,91,4.60603125,153.956833333333,92.3741
"92",2018-04-02,92,4.65117708333333,154.3435625,92.6061375
"93",2018-04-03,93,4.71371875,154.521395833333,92.7128375
"94",2018-04-04,94,4.79355208333333,154.3696875,92.6218125
"95",2018-04-05,95,4.65672916666667,154.402958333333,92.641775
"96",2018-04-06,96,4.39173958333333,155.005989583333,93.00359375
"97",2018-04-07,97,4.5923125,154.756958333333,92.854175
"98",2018-04-08,98,4.65159375,154.881177083333,92.92870625
"99",2018-04-09,99,4.66145833333333,155.00334375,93.00200625
"100",2018-04-10,100,4.85688541666667,155.22825,93.13695
"101",2018-04-11,101,4.96386458333333,155.142854166667,93.0857125
"102",2018-04-12,102,5.39803125,155.13178125,93.07906875
"103",2018-04-13,103,5.55189583333333,155.27425,93.16455
"104",2018-04-14,104,5.28330208333333,155.331854166667,93.1991125
"105",2018-04-15,105,5.025625,156.685729166667,94.0114375
"106",2018-04-16,106,5.04153125,158.462177083333,95.07730625
"107",2018-04-17,107,5.11836458333333,158.44865625,95.06919375
"108",2018-04-18,108,5.17032291666667,157.815427083333,94.68925625
"109",2018-04-19,109,5.40342708333333,159.097302083333,95.45838125
"110",2018-04-20,110,5.43185416666667,157.963697916667,94.77821875
"111",2018-04-21,111,5.63325,158.107552083333,94.86453125
"112",2018-04-22,112,5.94638541666667,158.283270833333,94.9699625
"113",2018-04-23,113,6.1385,158.295125,94.977075
"114",2018-04-24,114,6.99928125,158.774458333333,95.264675
"115",2018-04-25,115,7.03565625,160.126114583333,96.07566875
"116",2018-04-26,116,7.41057291666667,160.23234375,96.13940625
"117",2018-04-27,117,7.81289583333333,160.842302083333,96.50538125
"118",2018-04-28,118,7.932375,160.808375,96.485025
"119",2018-04-29,119,8.78215625,161.535791666667,96.921475
"120",2018-04-30,120,9.17584375,163.69434375,98.21660625
"121",2018-05-01,121,8.81320833333333,164.401291666667,98.640775
"122",2018-05-02,122,9.50176041666667,163.42421875,98.05453125
"123",2018-05-03,123,10.4312291666667,165.32903125,99.19741875
"124",2018-05-04,124,10.2505833333333,164.70184375,98.82110625
"125",2018-05-05,125,11.9270208333333,167.123354166667,100.2740125
"126",2018-05-06,126,10.2481145833333,167.38384375,100.43030625
