"","JDAY","WSE"
"682",682,118.97
"683",683,118.94
"684",684,118.91
"685",685,118.88
"686",686,118.91
"687",687,118.96
"688",688,118.99
"689",689,119
"690",690,119.01
"691",691,119.02
"692",692,119.02
"693",693,119.02
"694",694,119.01
"695",695,119.02
"696",696,119.02
"697",697,119.02
"698",698,119.02
"699",699,119.02
"700",700,119.02
"701",701,119.05
"702",702,119.08
"703",703,119.08
"704",704,119.08
"705",705,119.07
"706",706,119.06
"707",707,119.03
"708",708,119
"709",709,118.97
"710",710,118.94
"711",711,118.92
"712",712,118.99
"713",713,119.06
"714",714,119.08
"715",715,119.07
"716",716,119.05
"717",717,119.02
"718",718,118.99
"719",719,118.97
"720",720,118.94
"721",721,118.96
"722",722,119
"723",723,119.05
"724",724,119.09
"725",725,119.12
"726",726,119.18
"727",727,119.21
"728",728,119.21
"729",729,119.19
"730",730,119.16
"731",731,119.14
"732",732,119.13
"733",733,119.11
"734",734,119.1
"735",735,119.09
"736",736,119.04
"737",737,119.01
"738",738,119.01
"739",739,119
"740",740,119
"741",741,118.99
"742",742,119
"743",743,119
"744",744,118.98
"745",745,118.95
"746",746,118.91
"747",747,118.89
"748",748,118.87
"749",749,118.89
"750",750,118.89
"751",751,118.88
"752",752,118.85
"753",753,118.82
"754",754,118.79
"755",755,118.77
"756",756,118.74
"757",757,118.73
"758",758,118.7
"759",759,118.66
"760",760,118.64
"761",761,118.61
"762",762,118.59
"763",763,118.58
"764",764,118.55
"765",765,118.5
"766",766,118.45
"767",767,118.42
"768",768,118.4
"769",769,118.38
"770",770,118.35
"771",771,118.32
"772",772,118.29
"773",773,118.25
"774",774,118.22
"775",775,118.19
"776",776,118.16
"777",777,118.13
"778",778,118.09
"779",779,118.07
"780",780,118.04
"781",781,118.03
"782",782,118.02
"783",783,118.01
"784",784,118.01
"785",785,118.01
"786",786,118.01
"787",787,118.04
"788",788,118.04
"789",789,118.04
"790",790,118.07
"791",791,118.07
"792",792,118.08
"793",793,118.07
"794",794,118.07
"795",795,118.08
"796",796,118.24
"797",797,118.61
"798",798,118.77
"799",799,118.86
"800",800,118.92
"801",801,119.12
"802",802,119.25
"803",803,119.32
"804",804,119.36
"805",805,119.36
"806",806,119.44
"807",807,119.47
"808",808,119.49
"809",809,119.5
"810",810,119.48
"811",811,119.45
"812",812,119.42
"813",813,119.38
"814",814,119.32
"815",815,119.26
"816",816,119.2
"817",817,119.14
"818",818,119.11
"819",819,119.06
"820",820,119.03
"821",821,119.03
"822",822,119.01
"823",823,119
"824",824,118.99
"825",825,119
"826",826,119.01
"827",827,119.02
"828",828,119
"829",829,118.98
"830",830,118.95
"831",831,118.93
"832",832,118.9
"833",833,118.87
"834",834,118.88
"835",835,118.87
"836",836,118.84
"837",837,118.94
"838",838,119.08
"839",839,119.15
"840",840,119.19
"841",841,119.21
"842",842,119.21
"843",843,119.2
"844",844,119.22
"845",845,119.23
"846",846,119.22
"847",847,119.2
"848",848,119.17
"849",849,119.16
"850",850,119.12
"851",851,119.09
"852",852,119.05
"853",853,119.01
"854",854,118.97
"855",855,118.95
"856",856,118.91
"857",857,118.87
"858",858,118.83
"859",859,118.8
"860",860,118.76
"861",861,118.72
"862",862,118.69
"863",863,118.67
"864",864,118.64
"865",865,118.64
"866",866,118.67
"867",867,118.69
"868",868,118.73
"869",869,118.76
"870",870,118.79
"871",871,118.81
"872",872,118.82
"873",873,118.82
"874",874,118.83
"875",875,118.81
"876",876,118.78
"877",877,118.78
"878",878,118.8
"879",879,118.81
"880",880,118.82
"881",881,118.82
"882",882,118.82
"883",883,118.87
"884",884,118.88
"885",885,118.88
"886",886,118.87
"887",887,118.86
"888",888,118.86
"889",889,118.85
"890",890,118.86
"891",891,118.85
"892",892,118.88
"893",893,118.93
"894",894,118.95
"895",895,118.95
"896",896,118.95
"897",897,118.93
"898",898,118.91
"899",899,118.92
"900",900,118.92
"901",901,118.92
"902",902,118.91
"903",903,118.89
"904",904,118.95
"905",905,118.98
"906",906,119.02
"907",907,119.07
"908",908,119.1
"909",909,119.1
"910",910,119.1
"911",911,119.1
"912",912,119.09
"913",913,119.07
"914",914,119.05
"915",915,119.04
"916",916,119.02
"917",917,118.99
"918",918,118.97
"919",919,118.95
"920",920,118.94
"921",921,118.92
"922",922,118.91
"923",923,118.87
"924",924,118.83
"925",925,118.8
"926",926,118.77
"927",927,118.74
"928",928,118.71
"929",929,118.69
"930",930,118.64
"931",931,118.59
"932",932,118.52
"933",933,118.42
"934",934,118.35
"935",935,118.31
"936",936,118.27
"937",937,118.28
"938",938,118.28
"939",939,118.27
"940",940,118.27
"941",941,118.3
"942",942,118.32
"943",943,118.34
"944",944,118.34
