"$Calculated constituents for Quabbin, Quinapoxet, Trout",,,,,,,
From: Quinapoxet_Quabbin_Trout.R,,,,,,,
JDAY,TDS,UV254,PO4,NH4,NO3,PSI,TOC
181,47.90420717,0.017782177,0.003346119,0.009932053,0.004513816,1.275475335,1.733602822
182,53.1965012,0.017374279,0.003264762,0.009225278,0.00439077,1.235688262,1.687117367
183,56.48013424,0.017184121,0.003224518,0.008654775,0.004323593,1.211841426,1.66206527
184,57.2892573,0.01721966,0.003226706,0.008206294,0.004313542,1.204094462,1.658959845
185,52.89215948,0.017759713,0.003323322,0.007986856,0.004429408,1.231375529,1.704300055
186,49.83138747,0.018148946,0.003391517,0.007678878,0.004506816,1.247744083,1.734876368
187,47.85444193,0.01856579,0.003439618,0.007312071,0.004557141,1.256468738,1.755049956
188,47.66302306,0.018800847,0.003453682,0.006867143,0.004562205,1.252651165,1.757802576
189,48.56367918,0.018918334,0.003446265,0.00638139,0.004538948,1.241077954,1.749639598
190,45.47561478,0.019461242,0.003515999,0.006032811,0.004617139,1.257181058,1.780592141
191,43.48605801,0.019893179,0.00356488,0.005635185,0.004667569,1.265577967,1.800860923
192,43.61312872,0.020093894,0.003572041,0.005166868,0.004663238,1.259074371,1.800010027
193,41.23074041,0.020186725,0.003603214,0.005262836,0.004723461,1.275109654,1.824268275
194,41.24373701,0.020018052,0.003587897,0.005291547,0.004722989,1.274757269,1.825097961
195,40.7406091,0.019901404,0.003581942,0.005334188,0.004734886,1.277742904,1.830709989
196,41.49798173,0.019651797,0.00355203,0.005341068,0.004715084,1.272174625,1.824064005
197,40.10508327,0.019632111,0.003563727,0.005410684,0.00475058,1.281525481,1.838813747
198,39.37130743,0.019541569,0.003562737,0.005461637,0.004769394,1.28637363,1.847118067
199,39.00912148,0.019408325,0.003554052,0.005501096,0.004778022,1.28847326,1.851483517
200,38.72301393,0.01943543,0.003544113,0.005538788,0.004785031,1.290135606,1.855225028
201,38.41018628,0.019466027,0.003534765,0.005577568,0.004792901,1.292029282,1.8593034
202,36.44200003,0.019668085,0.003556371,0.00566584,0.004842993,1.305301833,1.879773011
203,36.06702065,0.019705301,0.003547985,0.005707,0.004852498,1.307632633,1.884502198
204,35.72994653,0.019737143,0.003538576,0.005746714,0.004860681,1.309606385,1.888721828
205,38.98342081,0.019397525,0.003462804,0.005677802,0.004777379,1.286934991,1.857376831
206,40.48188394,0.019241787,0.003420235,0.005661951,0.004739356,1.276466638,1.843609612
207,39.17483477,0.019478787,0.003429791,0.005732344,0.004773544,1.285447199,1.857931508
208,44.66246122,0.018998208,0.003313723,0.005591549,0.004632418,1.24722337,1.803995882
209,58.06202873,0.017674246,0.003053829,0.005202464,0.004288081,1.154310682,1.670820299
210,55.15037752,0.018072051,0.00309324,0.005320149,0.004362821,1.1742221,1.700876917
211,48.51857874,0.018872539,0.003199934,0.00555641,0.004533554,1.219957871,1.768409998
212,43.5065012,0.019509972,0.003276979,0.005744706,0.004663632,1.254739108,1.820148978
213,38.89416279,0.020108913,0.003345905,0.005921702,0.004783281,1.286702575,1.86787121
214,37.79805792,0.020436611,0.003350501,0.005986588,0.004811633,1.294100261,1.879973909
215,38.6129444,0.020551562,0.00332015,0.005989112,0.004789829,1.288007957,1.872481198
216,36.82992516,0.020955275,0.003336211,0.006075634,0.004835089,1.29994814,1.891210419
217,37.5846579,0.021078974,0.003307434,0.006080808,0.004815483,1.29444769,1.884573666
218,37.43718763,0.02130511,0.003294886,0.006115632,0.004819434,1.295280193,1.887152556
219,36.95383434,0.021568808,0.003287987,0.006161136,0.004831722,1.298352784,1.892999739
220,36.17822245,0.021475676,0.003286903,0.006217941,0.004852712,1.303761881,1.902262992
221,37.34442606,0.021154076,0.003250826,0.006208429,0.004821991,1.295278698,1.891253855
222,38.01198245,0.02089378,0.003224037,0.00621607,0.004804825,1.29043865,1.885550516
223,36.66829025,0.020861056,0.003232415,0.006291737,0.004840152,1.299696097,1.900451174
224,35.74097658,0.020777297,0.003233051,0.006353068,0.004864169,1.305913498,1.910923441
225,36.69156689,0.02048828,0.003201748,0.006351637,0.004840132,1.299229827,1.902517758
226,35.73796908,0.020405262,0.003202638,0.006414078,0.004864766,1.305610589,1.913243054
227,35.17099208,0.020280849,0.003197145,0.006464236,0.004879896,1.30943885,1.920239208
228,34.94441784,0.020395309,0.00318596,0.006503156,0.004886442,1.310962496,1.923861895
229,34.88818463,0.020487673,0.003171276,0.006535034,0.00488766,1.311056501,1.925388763
230,34.85198939,0.020580431,0.003156639,0.006567039,0.004888961,1.311172812,1.926949106
231,34.96421068,0.020658965,0.003139825,0.006594505,0.004886887,1.310383786,1.927178712
232,34.75491258,0.020770478,0.003128001,0.0066325,0.004892598,1.311682343,1.930479555
233,34.57551006,0.020870827,0.003114445,0.006666934,0.004895643,1.312265532,1.93273004
234,34.55190619,0.020957489,0.00309883,0.006696997,0.004895466,1.311984831,1.933708986
235,34.60609579,0.021071206,0.00308298,0.006726544,0.004894914,1.311603878,1.934539965
236,34.36664731,0.021214624,0.003071438,0.006765565,0.00490123,1.313062882,1.938086415
237,33.91542444,0.021383506,0.00306346,0.00681268,0.004913328,1.316070028,1.943923169
238,33.57984392,0.021539493,0.003053497,0.006855659,0.004922348,1.318251753,1.948546732
239,33.3413805,0.021685718,0.003042047,0.00689551,0.004929052,1.31981246,1.952256827
240,33.20902968,0.021816528,0.003028371,0.006930445,0.0049322,1.32042027,1.954560207
241,33.45576874,0.021907456,0.003009176,0.006952715,0.004926345,1.318618359,1.953295813
242,34.00008575,0.021753223,0.002984966,0.006963127,0.004912177,1.314592031,1.948730642
243,33.02110634,0.021766143,0.002983687,0.007027159,0.004935793,1.320677244,1.959157353
244,32.80123762,0.02170194,0.002971818,0.007066656,0.004942047,1.322115231,1.962698652
245,32.7374231,0.021618018,0.002957243,0.007099831,0.004943844,1.322360613,1.964471807
246,34.69139437,0.02132678,0.002914336,0.007064378,0.004898043,1.309876679,1.947322007
247,36.2768556,0.021071363,0.002876376,0.007039757,0.004860112,1.299501391,1.933283147
248,35.08529621,0.021115453,0.002879306,0.007115114,0.004891233,1.307589638,1.946710758
249,36.47204859,0.020959734,0.002847597,0.007104924,0.004863531,1.299952343,1.936727503
250,52.04932103,0.019309103,0.002613659,0.00658448,0.004488252,1.199432009,1.788247971
251,41.76128594,0.020376393,0.002747873,0.00698982,0.004744528,1.267692727,1.891372245
252,37.94341474,0.020739313,0.002786342,0.007156587,0.004837399,1.292276672,1.929431267
253,36.41216125,0.020858632,0.002791803,0.007240424,0.004873675,1.301735321,1.944944349
254,35.28523004,0.020792732,0.002772411,0.007260226,0.004866724,1.299647121,1.943213465
255,36.2377041,0.020646005,0.002742312,0.007251516,0.004840798,1.292493157,1.933898938
256,35.42452514,0.020489623,0.002735835,0.007305119,0.004856512,1.296457359,1.941217102
257,35.30615863,0.020299242,0.002724888,0.007347134,0.004864424,1.298337993,1.945422236
258,36.84124967,0.019952469,0.002692882,0.007332044,0.004834618,1.290152352,1.934537868
259,37.16662099,0.01973171,0.002677794,0.007362582,0.004835018,1.290028923,1.935734102
260,36.32331785,0.019610015,0.002676228,0.007430676,0.004859979,1.296457213,1.946768667
261,34.60402147,0.019447397,0.002669203,0.007484215,0.004875256,1.300300443,1.953932991
262,34.31310854,0.019228769,0.002654542,0.007516597,0.004876685,1.300449351,1.955550712
263,34.68589551,0.019190016,0.002637412,0.00754196,0.004873566,1.299385647,1.955344485
264,34.64578045,0.019181723,0.002624464,0.007579307,0.004878186,1.300384928,1.958243113
265,34.16186858,0.019206227,0.002615961,0.007629759,0.00489117,1.303613274,1.964503513
266,33.67303338,0.019224782,0.002606588,0.007678053,0.004902673,1.306445636,1.970174183
267,33.35875733,0.019227368,0.002595004,0.007720128,0.00491013,1.308198969,1.974223055
268,33.31462319,0.019210026,0.002580706,0.007754283,0.004912512,1.308599553,1.97623329
269,32.65616144,0.019190354,0.002566085,0.007787532,0.004914303,1.308842744,1.978007025
270,31.90453379,0.019101457,0.002550933,0.007819211,0.004915093,1.308819117,1.979378267
271,31.92739673,0.019038401,0.002539227,0.007861583,0.004922572,1.310576325,1.983445104
272,31.9093946,0.018982494,0.002528463,0.007907141,0.004931982,1.312846641,1.98829332
273,32.3256753,0.018893713,0.002513313,0.007939151,0.0049329,1.312856157,1.989720537
274,32.69902016,0.018812312,0.002499142,0.007974314,0.004935764,1.313383271,1.99193329
275,32.21525786,0.018785371,0.002492192,0.008032847,0.004953015,1.317737844,1.999956694
276,31.86897984,0.018716114,0.002479612,0.008073618,0.004959225,1.319153751,2.00352675
277,31.66156562,0.018745267,0.002480658,0.008042014,0.005009591,1.31970991,2.000357794
278,31.66420724,0.01877017,0.002481139,0.008008559,0.005058847,1.319965912,1.996731403
279,31.76434834,0.018803874,0.002482781,0.007978821,0.005110512,1.320839504,1.994035814
280,31.81900608,0.018823655,0.002482583,0.00794315,0.005158417,1.320734236,1.989860131
281,31.92363904,0.018809329,0.002477893,0.007893174,0.005196892,1.318238858,1.98209134
282,32.56910866,0.018765186,0.002469289,0.00783092,0.005226902,1.313661816,1.971214089
283,33.44003518,0.018648077,0.002451114,0.007738691,0.005236131,1.303992789,1.952739391
284,33.31166098,0.018517401,0.002451801,0.007706258,0.005285311,1.304358041,1.949319401
285,32.52166901,0.01850883,0.002468784,0.007724799,0.005369967,1.31339334,1.958827915
286,32.19615506,0.018429111,0.00247646,0.007713868,0.005434857,1.317476971,1.960911488
287,32.24848915,0.018284438,0.002475458,0.00767581,0.00548083,1.3169435,1.956112243
288,32.18243,0.018143156,0.002474902,0.007639162,0.005527764,1.316648071,1.951669093
289,32.22924146,0.018009624,0.002475404,0.007605776,0.005577057,1.316914845,1.948059384
290,32.58805202,0.017826036,0.00246898,0.007551195,0.005610632,1.313497362,1.939009284
291,32.38403871,0.018101742,0.002474558,0.007533332,0.005671463,1.316464615,1.939385821
292,32.49778923,0.018318735,0.002472069,0.007490868,0.005713867,1.315140528,1.933435454
293,32.68312159,0.018536672,0.002469769,0.007449044,0.005756614,1.313916909,1.927640537
294,32.67922425,0.018786275,0.002471692,0.007419965,0.005809199,1.314940392,1.925142941
295,32.59856728,0.01904203,0.002474368,0.007393078,0.005863641,1.316363838,1.92322347
296,32.47984039,0.01928103,0.002474828,0.007359526,0.005912892,1.316608367,1.919576514
297,33.22098865,0.019325437,0.002450601,0.007252897,0.005902699,1.303719578,1.89682002
298,42.43229505,0.017581305,0.002243249,0.006607553,0.005446911,1.193408539,1.732695713
299,84.95685608,0.01011408,0.001298532,0.003806537,0.003178281,0.690819015,1.000890944
300,138.1543437,0,0,0,0,0,0
301,124.5971418,0,0,0,0,0,0
302,120.0780745,0,0,0,0,0,0
303,127.179466,0,0,0,0,0,0
304,135.5720196,0,0,0,0,0,0
305,142.6734111,0,0,0,0,0,0
306,143.9645731,0,0,0,0,0,0
307,137.9391501,0,0,0,0,0,0
308,131.913727,0,0,0,0,0,0
309,125.8883039,0,0,0,0,0,0
310,119.8628808,0,0,0,0,0,0
311,113.8374577,0,0,0,0,0,0
312,107.8120346,0,0,0,0,0,0
313,112.3311019,0,0,0,0,0,0
314,101.3562241,0,0,0,0,0,0
315,102.0018052,0,0,0,0,0,0
316,104.5841294,0,0,0,0,0,0
317,95.54599473,0,0,0,0,0,0
318,94.25483264,0,0,0,0,0,0
319,98.12831892,0,0,0,0,0,0
320,102.0018052,0,0,0,0,0,0
321,107.8120346,0,0,0,0,0,0
322,106.5208725,0,0,0,0,0,0
323,112.3311019,0,0,0,0,0,0
324,42.96812096,0.017098823,0.002157308,0.005562849,0.006329784,1.147687848,1.575562012
325,37.12170225,0.018295629,0.002315756,0.005938743,0.006839754,1.231982103,1.687535509
326,38.50806127,0.018077753,0.002295588,0.005854625,0.006824859,1.221252632,1.669124363
327,39.15008484,0.017885952,0.00227861,0.00577917,0.006818729,1.212220682,1.653093372
328,38.80721515,0.01788428,0.002285823,0.005765206,0.006884797,1.216057925,1.654627773
329,39.76053716,0.017750442,0.002276135,0.00570865,0.006899913,1.21090405,1.643932423
330,39.1182817,0.017735134,0.002281633,0.005690239,0.006960981,1.213828795,1.644211447
331,37.84232714,0.017369053,0.002241891,0.005559488,0.006883362,1.192686202,1.611945075
332,43.60571377,0.015815368,0.002048092,0.005049997,0.006328191,1.089585021,1.469287498
333,36.60516765,0.017929896,0.002318321,0.005683586,0.007208259,1.233346833,1.659396948
334,36.80663484,0.01793133,0.002314915,0.005642566,0.007242718,1.231534686,1.653213327
335,36.7509146,0.017989865,0.002318879,0.005619504,0.007300248,1.233643712,1.652292592
336,36.40098973,0.01806734,0.002325269,0.005602174,0.007365616,1.237043119,1.653083388
337,35.82809867,0.018137134,0.002330652,0.005582252,0.007428024,1.239906859,1.653139313
338,35.93634051,0.018202603,0.002335464,0.005560817,0.007488808,1.24246659,1.652773416
339,36.38088953,0.018200608,0.002331618,0.005518756,0.007521851,1.240420657,1.646279338
340,40.91444744,0.017105496,0.002186764,0.005145039,0.007097107,1.163358694,1.540464997
341,39.95148096,0.017483806,0.002230484,0.005216425,0.007282404,1.186617333,1.567654123
342,39.16075949,0.017742311,0.002258769,0.0052507,0.007418712,1.20166533,1.58387957
343,39.10427721,0.017847921,0.002267513,0.005239026,0.007491558,1.206317041,1.586342068
344,39.81868538,0.017780071,0.002254229,0.005176521,0.007491538,1.199249885,1.573401259
345,39.59176281,0.017923013,0.00226767,0.005175383,0.007580336,1.206400267,1.579113435
346,40.11405977,0.017890617,0.002258916,0.005123527,0.007595035,1.201743459,1.569363047
347,41.20992019,0.017704414,0.002235245,0.005038291,0.007558944,1.189150076,1.549300708
348,40.38071394,0.01792847,0.002263369,0.005069743,0.0076981,1.204112356,1.565132441
349,40.34420789,0.01793878,0.002264507,0.005040335,0.00774604,1.204717907,1.562255628
350,40.74602467,0.017833403,0.002251043,0.004978598,0.007743789,1.197554697,1.549324375
351,40.24519367,0.017861178,0.002254386,0.004954178,0.007799162,1.199333367,1.547977966
352,39.52017988,0.017969077,0.002267841,0.004951742,0.007889845,1.206491456,1.553547586
353,40.22240849,0.017878728,0.002256276,0.004894648,0.007893517,1.200338658,1.541974287
354,41.32118286,0.017694356,0.002231399,0.004809191,0.007849911,1.1871042,1.521362737
355,40.93643888,0.01773418,0.002234811,0.004785006,0.007905404,1.188919247,1.520072982
356,37.71878596,0.018033897,0.002270945,0.004830325,0.008077419,1.208142651,1.540976408
357,38.50737068,0.01790863,0.002253549,0.004761521,0.0080594,1.198887965,1.525525938
358,39.81527764,0.017760852,0.002233347,0.004687319,0.008030614,1.188140662,1.508237018
359,40.39274264,0.017658899,0.002218933,0.004625751,0.008021965,1.18047213,1.494912328
360,104.5841294,0,0,0,0,0,0
361,51.90974001,0.014591061,0.001818971,0.003740623,0.006646808,0.967692775,1.219569216
362,43.64232914,0.017205149,0.002129561,0.004349281,0.007823194,1.132926468,1.424365269
363,43.54381275,0.017387604,0.002136909,0.004334132,0.007891774,1.136835777,1.425822755
364,43.69623688,0.017402322,0.002123685,0.00427734,0.007884263,1.129800279,1.413562738
365,44.18226527,0.017381439,0.00210633,0.004212661,0.007860825,1.1205678,1.398603419
