$Withdrawal from North Dyke + Towns, Nashua River, Wachusett Aqueduct, Spillway, , , , 
FROM: 2017_WaterBalance, , , , 
JDAY,ND+T,Nash,Wach,Spill
251,0.06488651984,0.298597779134882,0,0
252,0.07084503888,0.298597779134882,0,0
253,0.05857749968,0.298597779134882,0,0
254,0.08508414688,0.298597779134882,0,0
255,0.07106410208,0.298597779134882,0,0
256,0.0672524024,0.298597779134882,0,0
257,0.07597111776,0.298597779134882,0,0
258,0.06777815408,0.298597779134882,0,0
259,0.06510558304,0.298597779134882,0,0
260,0.08092194608,0.298597779134882,0,0
261,0.06339689008,0.298597779134882,0,0
262,0.0659380232,0.298597779134882,0,0
263,0.06935540912,0.298597779134882,0,0
264,0.05919087664,0.298597779134882,0,0
265,0.07215941808,0.298597779134882,0,0
266,0.06098719488,0.298597779134882,0,0
267,0.07001259872,0.298597779134882,0,0
268,0.07654068208,0.298597779134882,0,0
269,0.06953065968,0.298597779134882,0,0
270,0.06843534368,0.298597779134882,0,0
271,0.07807412448,0.298597779134882,0,0
272,0.0633092648,0.298597779134882,0,0
273,0.06107482016,0.298597779134882,0,0
274,0.069004908,0.298239324558601,0,0
275,0.06300257632,0.296247759836738,0,0
276,0.0628711384,0.296521372584284,0,0
277,0.07759218544,0.296439429557363,0,0
278,0.06738384032,0.276640485714268,0,0
279,0.06164438448,0.289122609874325,0,0
280,0.07575205456,0.289352172385002,0,0
281,0.0571754952,0.289382159014992,0,0
282,0.0604614432,0.289305953991294,0,0
283,0.06909253328,0.188375042414511,0,0
284,0.05997950416,0.0784960136760156,0,0
285,0.0652808336,0.165435022193244,0,0
286,0.06335307744,0.270996066709262,0,0
287,0.05581730336,0.296654192648123,0,0
288,0.07465673856,0.29688344334113,0,0
289,0.05932231456,0.29631558017794,0,0
290,0.05756980896,0.296682476135771,0,0
291,0.06935540912,0.297925952,0,0
292,0.06028619264,0.297925952,0,0
293,0.0598042536,0.297925952,0,0
294,0.06685808864,0.297925952,0,0
295,0.06427314288,0.297925952,0,0
296,0.05901562608,0.297925952,0,0
297,0.052575168,0.297925952,0,0
298,0.07123935264,0.297925952,0,0
299,0.05310091968,0.297925952,0,0
300,0.06054906848,0.297925952,0,0
301,0.06050525584,0.297925952,0,0
302,0.05735074576,0.297925952,0,0
303,0.07702262112,0.297925952,0,0
304,0.08201726208,0.297925952,0,0
305,0.06970591024,0.297925952,0,0
306,0.0716336664,0.297925952,0,0
307,0.07527011552,0.297925952,0,0
308,0.05516011376,0.297925952,0,0
309,0.0457842088,0.297925952,0,0
310,0.0683477184,2.14681936,0,0
311,0.05178654048,1.5334424,0,0
312,0.05467817472,0.0779864992,0,0
313,0.05989187888,0.4420695376,0,0
314,0.04674808688,0.0779864992,0,0
315,0.04898253152,0.0779864992,0,0
316,0.06365976592,0.0779864992,0,0
317,0.04933303264,0.0779864992,0,0
318,0.04521464448,0.0779864992,0,0
319,0.06563133472,0.0779864992,0,0
320,0.05174272784,0.0779864992,0,0
321,0.04963972112,0.0779864992,0,0
322,0.0532323576,0.0779864992,0,0
323,0.06357214064,0.0779864992,0,0
324,0.05239991744,0.0779864992,0,0
325,0.0457842088,0.0779864992,0,0
326,0.06979353552,0.0779864992,0,0
327,0.04758052704,0.0779864992,0,0
328,0.05112935088,0.0779864992,0,0
329,0.05415242304,0.0779864992,0,0
330,0.04442601696,0.0779864992,0,0
331,0.06203869824,0.0779864992,0,0
332,0.04858821776,0.0779864992,0,0
333,0.04810627872,0.0779864992,0,0
334,0.0589280008,0.0779864992,0,0
335,0.05331998288,0.0779864992,0,0
336,0.04574039616,0.0779864992,0,0
337,0.06230157408,0.0779864992,0,0
338,0.0519179784,0.0779864992,0,0
339,0.05296948176,0.0779864992,0,0
340,0.04552133296,0.0779864992,0,0
341,0.06839153104,0.0779864992,0,0
342,0.05218085424,0.0779864992,0,0
343,0.0453460824,0.0779864992,0,0
344,0.06387882912,0.0779864992,0,0
345,0.05599255392,0.0779864992,0,0
346,0.0510417256,0.0779864992,0,0
347,0.0556420528,0.0779864992,0,0
348,0.04433839168,0.0779864992,0,0
349,0.04740527648,0.0779864992,0,0
350,0.05905943872,0.0779864992,0,0
351,0.05581730336,0.0779864992,0,0
352,0.04889490624,0.0779864992,0,0
353,0.05888418816,0.0779864992,0,0
354,0.0506035992,0.0779864992,0,0
355,0.0685667816,0.0779864992,0,0
356,0.0516989152,0.0779864992,0,0
357,0.04460126752,0.0779864992,0,0
358,0.06230157408,0.0779864992,0,0
359,0.04911396944,0.0779864992,0,0
360,0.04486414336,0.0779864992,0,0
361,0.06751527824,0.0779864992,0,0
362,0.04977115904,0.0779864992,0,0
363,0.04394407792,0.0779864992,0,0
364,0.06624471168,0.0779864992,0,0
365,0.04810627872,0.0779864992,0,0
