$West Boylston Daily Discharge, 
FROM: 2017_WaterBalance, 
JDAY,M^3/sec
253,0.00992786018098394
254,0.00600984178179964
255,0.00425005385674229
256,0.00328715102982411
257,0.00237737387611522
258,0.00191252423553403
259,0.00262308011470813
260,0.0100938779097629
261,0.00425005385674229
262,0.0029252323810859
263,0.00243714025847566
264,0.0023640924578129
265,0.002513508413714
266,0.00209846409176651
267,0.00181623395284221
268,0.00161369232373184
269,0.00140118963089472
270,0.00125509402956921
271,0.00118536658348203
272,0.00111563913739485
273,0.000986145308947234
274,0.000952941763191435
275,0.000972863890644915
276,0.000913097508284476
277,0.000866612544226357
278,0.000823447934743819
279,0.000836729353046138
280,0.00106583381876115
281,0.00121857012923783
282,0.00112227984654601
283,0.00156388700509814
284,0.00289202883533011
285,0.00193576671756309
286,0.0015705277142493
287,0.00120528871093551
288,0.00112892055569717
