                    JDAY,WB,VOLIN(m3),VOLPR(m3),VOLOUT(m3),VOLWD(m3),VOLEV(m3),VOLDT(m3),VOLTRB(m3),VOLICE(m3),%VOLerror
    70.999,   1,  0.18368519E+08,   0.46786459E+07,  -0.47193555E+08,  -0.16824668E+08,  -0.85947071E+06,   0.26071614E+07,   0.38086561E+08,   0.00000000E+00,  -0.75751062E-09,
    72.000,   1,  0.18564845E+08,   0.46786459E+07,  -0.47813371E+08,  -0.17270653E+08,  -0.87925147E+06,   0.28558851E+07,   0.38550635E+08,   0.00000000E+00,  -0.62455094E-09,
    72.998,   1,  0.18768022E+08,   0.53197097E+07,  -0.48433360E+08,  -0.17659695E+08,  -0.90678513E+06,   0.29888333E+07,   0.39046080E+08,   0.00000000E+00,  -0.92964616E-09,
    73.999,   1,  0.18969023E+08,   0.53244701E+07,  -0.49081119E+08,  -0.18048337E+08,  -0.94830437E+06,   0.30708698E+07,   0.39525781E+08,   0.00000000E+00,  -0.68443418E-09,
    74.998,   1,  0.19161696E+08,   0.53244701E+07,  -0.49731526E+08,  -0.18401102E+08,  -0.98607841E+06,   0.31633386E+07,   0.39966245E+08,   0.00000000E+00,  -0.52895900E-09,
    75.998,   1,  0.19351307E+08,   0.53244701E+07,  -0.50383555E+08,  -0.18660539E+08,  -0.10374450E+07,   0.32609380E+07,   0.40373065E+08,   0.00000000E+00,  -0.44540602E-09,
    76.998,   1,  0.19519798E+08,   0.53244701E+07,  -0.51038202E+08,  -0.18861970E+08,  -0.11046428E+07,   0.33534267E+07,   0.40730820E+08,   0.00000000E+00,  -0.40373368E-09,
    77.999,   1,  0.19661959E+08,   0.53244701E+07,  -0.51689169E+08,  -0.19006993E+08,  -0.11721406E+07,   0.34195419E+07,   0.41045782E+08,   0.00000000E+00,  -0.35012805E-09,
    78.998,   1,  0.19795792E+08,   0.53244701E+07,  -0.52329028E+08,  -0.19056724E+08,  -0.12266443E+07,   0.34646469E+07,   0.41339577E+08,   0.00000000E+00,  -0.31026567E-09,
    80.000,   1,  0.19925589E+08,   0.53244701E+07,  -0.52984555E+08,  -0.19067708E+08,  -0.12632676E+07,   0.35228754E+07,   0.41618666E+08,   0.00000000E+00,  -0.27816108E-09,
    80.999,   1,  0.20055007E+08,   0.53244701E+07,  -0.53634799E+08,  -0.19079134E+08,  -0.12942022E+07,   0.36338009E+07,   0.41902654E+08,   0.00000000E+00,  -0.24406183E-09,
    81.996,   1,  0.20191511E+08,   0.53609663E+07,  -0.54285090E+08,  -0.19090526E+08,  -0.13231672E+07,   0.37552358E+07,   0.42200314E+08,   0.00000000E+00,  -0.24710716E-09,
    83.000,   1,  0.20338411E+08,   0.53609663E+07,  -0.54934751E+08,  -0.19101222E+08,  -0.13538011E+07,   0.38660970E+07,   0.42506996E+08,   0.00000000E+00,  -0.20858078E-09,
    83.996,   1,  0.20493022E+08,   0.53609663E+07,  -0.55582845E+08,  -0.19112678E+08,  -0.13809949E+07,   0.40009474E+07,   0.42818037E+08,   0.00000000E+00,  -0.18515143E-09,
    84.996,   1,  0.20644981E+08,   0.53768342E+07,  -0.56249852E+08,  -0.19124460E+08,  -0.14021546E+07,   0.41517282E+07,   0.43120680E+08,   0.00000000E+00,  -0.97494579E-10,
    85.999,   1,  0.20792382E+08,   0.53768342E+07,  -0.56904086E+08,  -0.19135527E+08,  -0.14280383E+07,   0.42970359E+07,   0.43414278E+08,   0.00000000E+00,  -0.68970548E-10,
