$Flow data for Stillwater; 2018, 
296,0.98542464
297,1.13833536
298,1.07320672
299,0.9627712
300,1.38185984
301,3.9926688
302,3.0582144
303,2.63063072
304,2.2511856
305,3.6245504
306,2.4352448
307,15.8290912
308,12.6292928
309,6.2013792
310,6.1730624
311,8.211872
312,5.238608
313,3.822768
314,7.5605856
315,6.2863296
316,4.24752
317,7.3340512
318,10.2789984
319,5.7483104
320,5.3235584
321,4.8988064
322,4.0776192
323,3.964352
324,5.2669248
325,4.672272
326,3.4263328
327,2.61080896
328,2.52302688
329,2.75522464
330,3.3696992
331,12.6859264
332,9.9391968
333,5.8898944
334,4.3041536
335,3.5679168
336,5.3235584
337,8.211872
338,5.7483104
339,4.105936
340,3.3413824
341,2.8883136
342,2.46639328
343,2.16340352
344,2.052968
345,1.86324544
346,1.77829504
347,1.58007744
348,1.56025568
349,1.63671104
350,1.6706912
351,2.62213568
352,2.28799744
353,1.77829504
354,1.62538432
355,3.7095008
356,9.3728608
357,5.1819744
358,3.3413824
359,2.6476208
360,2.18322528
361,1.9538592
362,2.04164128
363,2.973264
364,2.48904672
365,2.0954432
