Evaluations	Best_Fitness
1728	[1.2916342229956383, 9.158423345303504, 1.0070654100671759]
1760	[1.2916342229956383, 9.158423345303504, 1.0070654100671759]
1792	[1.2916342229956383, 9.158423345303504, 1.0070654100671759]
1824	[1.2916342229956383, 9.158423345303504, 1.0070654100671759]
1856	[1.2916342229956383, 9.158423345303504, 1.0070654100671759]
1888	[1.2916342229956383, 9.158423345303504, 1.0070654100671759]
1920	[1.2916342229956383, 9.158423345303504, 1.0070654100671759]
1952	[1.2916342229956383, 9.158423345303504, 1.0070654100671759]
1984	[1.2916342229956383, 9.158423345303504, 1.0070654100671759]
2016	[1.2916342229956383, 9.158423345303504, 1.0070654100671759]
2048	[1.2916342229956383, 9.158423345303504, 1.0070654100671759]
2080	[1.2916342229956383, 9.158423345303504, 1.0070654100671759]
2112	[1.2916342229956383, 9.158423345303504, 1.0070654100671759]
2144	[1.2916342229956383, 9.158423345303504, 1.0070654100671759]
2176	[1.2916342229956383, 9.158423345303504, 1.0070654100671759]
2208	[1.2520545877617977, 9.216335373310763, 1.0543440370048127]
2240	[1.2520545877617977, 9.216335373310763, 1.0543440370048127]
2272	[1.2520545877617977, 9.216335373310763, 1.0543440370048127]
2304	[1.2520545877617977, 9.216335373310763, 1.0543440370048127]
2336	[1.2520545877617977, 9.216335373310763, 1.0543440370048127]
2368	[1.2520545877617977, 9.216335373310763, 1.0543440370048127]
2400	[1.2520545877617977, 9.216335373310763, 1.0543440370048127]
2432	[1.2520545877617977, 9.216335373310763, 1.0543440370048127]
2464	[1.2520545877617977, 9.216335373310763, 1.0543440370048127]
2496	[1.2520545877617977, 9.216335373310763, 1.0543440370048127]
2528	[1.2520545877617977, 9.216335373310763, 1.0543440370048127]
2560	[1.2520545877617977, 9.216335373310763, 1.0543440370048127]
2592	[1.2520545877617977, 9.216335373310763, 1.0543440370048127]
2624	[1.2520545877617977, 9.216335373310763, 1.0543440370048127]
2656	[1.2520545877617977, 9.216335373310763, 1.0543440370048127]
2688	[1.2520545877617977, 9.216335373310763, 1.0543440370048127]
2720	[1.2520545877617977, 9.216335373310763, 1.0543440370048127]
2752	[1.2520545877617977, 9.216335373310763, 1.0543440370048127]
2784	[1.552075025005227, 8.51686154836283, 1.7604490640571107]
2816	[1.552075025005227, 8.51686154836283, 1.7604490640571107]
2848	[1.552075025005227, 8.51686154836283, 1.7604490640571107]
2880	[1.552075025005227, 8.51686154836283, 1.7604490640571107]
2912	[1.552075025005227, 8.51686154836283, 1.7604490640571107]
2944	[1.552075025005227, 8.51686154836283, 1.7604490640571107]
2976	[1.552075025005227, 8.51686154836283, 1.7604490640571107]
3008	[1.552075025005227, 8.51686154836283, 1.7604490640571107]
3040	[1.552075025005227, 8.51686154836283, 1.7604490640571107]
3072	[1.552075025005227, 8.51686154836283, 1.7604490640571107]
3104	[1.552075025005227, 8.51686154836283, 1.7604490640571107]
3136	[1.552075025005227, 8.51686154836283, 1.7604490640571107]
