$MET data for Worcester Airport; FROM: NCEI CDO_2017_METDATA, , , , , 
JDAY,TAIR,TDEW,WIND,PH10,CLOUD
Day,C,C,m S-1,rad,tenth
5.032639,0,-1.11,6.706,4.538,8.409
5.035417,0,-1.11,7.153,4.538,9.318
5.0375,0,-1.11,6.706,4.887,10
5.04375,0,-1.11,6.706,5.236,10
5.051389,0,-1.67,6.259,5.061,9.357
5.055556,-0.56,-2.22,8.941,5.061,9.006
5.061111,-0.56,-2.22,7.6,5.061,8.538
5.075,-1.11,-2.22,4.917,4.712,7.368
5.079167,-0.56,-2.22,4.47,4.538,7.018
5.08125,-0.56,-2.22,4.47,4.712,6.842
5.090278,-0.56,-2.22,6.706,4.712,6.082
5.103472,-1.11,-3.33,4.47,4.538,4.971
5.113194,-1.11,-2.78,5.812,4.887,4.152
5.120833,-1.11,-5,8.047,4.887,3.509
5.1625,-2.78,-7.22,5.812,4.712,0
5.204167,-3.33,-7.78,4.917,4.712,0
5.245833,-3.89,-8.89,7.153,4.712,0
5.2875,-4.44,-9.44,6.259,4.712,0
5.329167,-5,-9.44,5.812,4.712,0
5.370833,-5.56,-9.44,5.812,4.538,3.125
5.4125,-5.56,-10.56,7.153,4.712,0
5.454167,-6.67,-12.22,6.706,4.712,0
5.495833,-7.22,-12.22,6.259,4.363,0
5.5375,-6.67,-11.67,6.706,4.363,0
5.579167,-5.56,-11.67,8.941,4.363,0
5.620833,-5,-12.22,8.941,4.538,0
5.6625,-4.44,-12.22,6.706,4.712,0
5.704167,-3.89,-13.33,7.6,4.712,0
5.745833,-3.89,-13.33,6.706,4.712,0
5.7875,-3.33,-13.33,4.917,4.538,0
5.829167,-3.33,-13.33,4.917,4.538,0
5.870833,-3.89,-12.78,3.576,4.363,0
5.9125,-4.44,-12.78,2.682,4.363,0
5.954167,-5,-12.78,1.341,4.887,0
5.995833,-5.56,-12.22,2.235,4.363,0
6.0375,-5.56,-11.67,1.341,4.363,0.793
6.079167,-5.56,-10.56,0,4.276,1.585
6.120833,-5.56,-10,2.682,4.189,2.378
6.1625,-5,-11.11,3.576,3.84,3.17
6.204167,-5,-11.11,3.129,4.014,3.963
6.245833,-5,-11.11,3.129,3.84,4.756
6.2875,-4.44,-11.67,3.576,4.363,5.548
6.295139,-5,-10.56,4.023,3.84,5.694
6.31875,-5.56,-8.89,2.235,3.665,6.143
6.329167,-5.56,-8.33,2.682,4.014,6.341
6.345833,-6.11,-8.33,2.682,3.84,6.658
6.351389,-6.11,-8.33,2.235,3.665,6.764
6.370833,-6.11,-8.33,1.341,3.84,7.133
6.4125,-6.11,-8.33,0,3.665,7.926
6.454167,-6.11,-7.78,1.341,3.491,8.719
6.465278,-6.11,-7.78,0,3.267,8.93
6.471528,-6.11,-7.78,1.341,3.142,9.049
6.477083,-6.11,-7.78,1.341,3.316,9.155
6.495833,-6.11,-7.78,2.235,3.142,9.511
6.521528,-5.56,-7.22,1.341,3.142,10
6.532639,-5.56,-7.22,0,3.541,10
6.5375,-5.56,-7.22,0,3.715,10
6.545833,-5.56,-7.22,1.341,4.014,10
6.553472,-5.56,-7.22,1.341,4.363,10
6.579167,-5.56,-7.22,0,4.582,8.38
6.594444,-5,-7.22,2.235,4.712,7.416
6.6,-5,-7.78,1.341,17.279,7.066
6.614583,-5,-8.89,3.129,5.76,6.147
6.620833,-5,-8.33,2.682,5.236,5.752
6.632639,-5.56,-8.89,4.023,5.411,5.008
6.647917,-5.56,-9.44,4.47,5.411,4.045
6.6625,-5,-8.89,4.917,5.236,3.125
6.704167,-3.89,-10.56,4.023,5.411,0
6.745833,-4.44,-12.78,4.023,5.411,3.125
