$Muddy Brook Daily Discharge, 
FROM: 2017_WaterBalance, 
JDAY,M^3/sec
254,0.0126076028683406
255,0.00891587385164415
256,0.00689587118213102
257,0.00498731693576345
258,0.00401214323323987
259,0.00550276589281162
260,0.0211752003976549
261,0.00891587385164415
262,0.00613662879945195
263,0.00511269641180219
264,0.00495945482997706
265,0.00527290352007392
266,0.0044022127142493
267,0.00381014296628856
268,0.00338524585304614
269,0.00293945216046393
270,0.00263296899681366
271,0.00248669294143513
272,0.00234041688605659
273,0.00206876135463931
274,0.00199910609017334
275,0.00204089924885292
276,0.00191551977281417
277,0.00181800240256182
278,0.00172745055875605
279,0.00175531266454244
280,0.00223593398935763
281,0.0025563482059011
282,0.00235434793894978
283,0.00328076295634718
284,0.00606697353498598
285,0.00406090191836605
286,0.00329469400924038
287,0.00252848610011471
288,0.00236827899184298
289,0.00234041688605659
290,0.00420717797374458
