$Malden Brook Daily Discharge,
Auto-Generated,
JDAY,Flow
688,0.166515754
689,0.101013159
690,0.07030132
691,0.053745719
692,0.065742531
693,0.056624954
694,0.046067759
695,0.066222404
696,0.120208059
697,0.074380236
698,0.05110642
699,0.051346356
700,0.060463934
701,0.307118393
702,0.239936245
703,0.16099722
704,0.128605827
705,0.106771629
706,0.090455964
707,0.093335199
708,0.080858514
709,0.069341575
710,0.083977686
711,0.135803914
712,0.856572394
713,0.621434874
714,0.364703092
715,0.280725406
716,0.207784788
717,0.188110016
718,0.169874861
719,0.149720217
720,0.095974498
721,0.088776411
722,0.086377048
723,0.081578323
724,0.076779598
725,0.069581511
726,0.079178961
727,0.076779598
728,0.071980873
729,0.067182149
730,0.067182149
731,0.071980873
732,0.095974498
733,0.11756876
734,0.100773223
735,0.079178961
736,0.064782786
737,0.059984061
738,0.055185336
739,0.050386611
740,0.047987249
741,0.045587886
742,0.047987249
743,0.059984061
744,0.055185336
745,0.050386611
746,0.050386611
747,0.047987249
748,0.047987249
749,0.067182149
750,0.069581511
751,0.064782786
752,0.059984061
753,0.052785974
754,0.050386611
755,0.052785974
756,0.052785974
757,0.059984061
758,0.062383424
759,0.057584699
760,0.055185336
761,0.050386611
762,0.047987249
763,0.057584699
764,0.064782786
765,0.062383424
766,0.059984061
767,0.076779598
768,0.081578323
769,0.076779598
770,0.069581511
771,0.062383424
772,0.055185336
773,0.055185336
774,0.052785974
775,0.057584699
776,0.062383424
777,0.059984061
778,0.062383424
779,0.088776411
780,0.129565572
781,0.122367485
782,0.09837386
783,0.083977686
784,0.076779598
785,0.067182149
786,0.100773223
787,0.143961747
788,0.119968122
789,0.136763659
790,0.167955371
791,0.153559197
792,0.134364297
793,0.122367485
794,0.122367485
795,0.283124769
796,2.447349696
797,2.013065093
798,0.890163468
799,0.580645712
800,0.89256283
801,1.218876123
802,0.863770481
803,0.66702276
804,0.542255913
805,0.611837424
806,0.861371118
807,0.909358367
808,0.952546891
809,0.69581511
810,0.539856551
811,0.475073765
812,0.427086516
813,0.369501817
814,0.316715843
815,0.278326044
816,0.249533694
817,0.227939432
818,0.211143895
819,0.196747721
820,0.189549633
821,0.220741345
822,0.256731782
823,0.278326044
824,0.285524131
825,0.364703092
826,0.335910743
827,0.271127957
828,0.232738157
829,0.194348358
830,0.170354734
831,0.160757284
832,0.151159834
833,0.191948996
834,0.271127957
835,0.23513752
836,0.20634517
837,0.861371118
838,0.940550079
839,0.549454
840,0.434284603
841,0.362303729
842,0.278326044
843,0.292722219
844,0.379099267
845,0.32391393
846,0.278326044
847,0.261530507
848,0.254332419
849,0.251933057
850,0.218341983
851,0.182351546
852,0.163156646
853,0.151159834
854,0.160757284
855,0.182831418
856,0.17059467
857,0.147080918
858,0.138683149
859,0.137483468
860,0.127406146
861,0.144441619
862,0.201066573
863,0.167235563
864,0.124526911
865,0.160517348
866,0.316715843
867,0.379099267
868,0.367102454
869,0.35270628
870,0.335910743
871,0.283124769
872,0.219541664
873,0.193388613
874,0.229858922
875,0.21594262
876,0.205145489
877,0.165556009
878,0.12524672
879,0.101253095
880,0.080618578
881,0.07222081
882,0.068621766
883,0.094294944
884,0.082778004
885,0.066942212
886,0.064302914
887,0.056385018
888,0.048227185
889,0.046067759
890,0.053505783
891,0.073900363
892,0.061663615
893,0.125006783
894,0.119248314
895,0.131964935
896,0.10221284
897,0.07222081
898,0.05878438
899,0.149240344
900,0.077259471
901,0.055905145
902,0.039829417
903,0.054705464
904,0.335910743
905,0.376699904
906,0.331112018
907,0.45108014
908,0.319115205
909,0.191229187
910,0.169874861
911,0.135803914
912,0.093335199
913,0.079418897
914,0.064062977
915,0.051346356
916,0.043908333
917,0.046067759
918,0.037909927
919,0.035030692
920,0.038869672
921,0.031911521
922,0.027112796
923,0.022937905
924,0.026632923
925,0.031671584
926,0.025433242
927,0.02224209
928,0.015235952
929,0.015763811
930,0.016363652
931,0.009909367
932,0.00854173
933,0.007366043
934,0.012188761
935,0.013604385
936,0.013628379
937,0.015427901
938,0.013484417
939,0.013532404
940,0.011996812
941,0.012188761
942,0.012188761
943,0.008637705
944,0.008061858
945,0.009645437
946,0.007318055
947,0.007222081
948,0.005998406
949,0.004270865
950,0.009693424
951,0.011876844
952,0.070541256
953,0.043668397
954,0.026632923
955,0.019938702
956,0.013724353
957,0.055905145
958,0.259131144
959,0.12524672
960,0.065502595
961,0.04534795
962,0.035270628
963,0.026153051
964,0.024953369
965,0.020250619
966,0.014924034
967,0.013220487
968,0.023081867
969,0.021570268
970,0.602239974
971,0.933351992
972,0.477473127
973,0.242335607
974,0.15715824
975,0.114449589
976,0.089496219
977,0.07222081
978,0.059024316
979,0.087816666
980,0.261530507
981,0.990936691
982,1.070115651
983,0.5686489
984,0.383897992
985,0.283124769
986,0.22362058
987,0.179232375
988,0.14756079
989,0.128125955
990,0.111570354
991,0.099093669
992,0.091175773
993,0.082778004
994,0.083737749
995,0.090216028
996,0.12140774
997,0.544655275
998,0.475073765
999,0.297520943
1000,0.206585107
1001,0.166995626
1002,0.379099267
1003,0.448680778
1004,0.355105642
1005,0.268728594
1006,0.223140708
1007,0.271127957
1008,0.35270628
1009,0.261530507
1010,0.196747721
1011,0.167475499
1012,0.146361109
1013,0.1290857
1014,0.116369079
1015,0.105571948
1016,0.171074542
1017,0.297520943
1018,0.489469939
1019,0.34310883
1020,0.247134332
1021,0.209224405
1022,0.24473497
1023,0.604639337
1024,0.506265476
1025,0.357505005
1026,0.275926681
1027,0.235857329
1028,0.219541664
1029,0.217142301
1030,0.220741345
1031,0.362303729
1032,0.307118393
1033,0.345508192
1034,0.374300542
1035,0.359904367
1036,0.374300542
1037,0.386297354
1038,0.415089703
1039,0.381498629
1040,0.321514568
1041,0.283124769
1042,0.261530507
1043,0.242335607
1044,0.256731782
1045,0.43188524
1046,0.345508192
1047,0.280725406
1048,0.263929869
1049,0.254332419
1050,0.242335607
1051,0.268728594
1052,0.227939432
1053,0.199147083
1054,0.182591482
1055,0.176833012
1056,0.178032694
1057,0.439083328
1058,0.537457188
1059,0.393495441
1060,0.309517756
1061,0.261530507
1062,0.242335607
1063,0.230338795
1064,0.573447625
1065,0.506265476
1066,0.374300542
1067,0.309517756
1068,0.263929869
1069,0.247134332
1070,0.237296946
1071,0.290322856
1072,0.858971756
1073,0.693415747
1074,0.47027504
1075,0.350306917
1076,0.287923494
1077,0.234657647
1078,0.214263067
1079,0.21786211
1080,0.230818667
1081,0.226979687
1082,0.214263067
1083,0.208744533
1084,0.206105234
1085,0.209224405
1086,0.304719031
1087,0.429485878
1088,0.43188524
1089,0.33351138
1090,0.275926681
1091,0.254332419
1092,0.443882053
1093,0.379099267
1094,0.326313293
1095,0.292722219
1096,0.271127957
1097,0.251933057
1098,0.224100453
1099,0.190509378
1100,0.188349952
1101,0.181151865
1102,0.176833012
1103,0.168915116
1104,0.160517348
1105,0.153799133
