                    JDAY,WB,VOLIN(m3),VOLPR(m3),VOLOUT(m3),VOLWD(m3),VOLEV(m3),VOLDT(m3),VOLTRB(m3),VOLICE(m3),%VOLerror
    57.994,   1,  0.78865119E+07,   0.19991833E+07,  -0.38774400E+08,  -0.21498704E+08,  -0.40708509E+06,   0.61578729E+07,   0.17827528E+08,   0.00000000E+00,   0.89876112E-10,
    58.996,   1,  0.81707991E+07,   0.21527339E+07,  -0.39448712E+08,  -0.21511235E+08,  -0.40719911E+06,   0.62953602E+07,   0.18391399E+08,   0.00000000E+00,   0.78078005E-10,
    59.997,   1,  0.85736140E+07,   0.21689116E+07,  -0.40115544E+08,  -0.21523759E+08,  -0.40792151E+06,   0.64146445E+07,   0.19192015E+08,   0.00000000E+00,   0.79469812E-10,
    60.999,   1,  0.88700081E+07,   0.21971539E+07,  -0.40767395E+08,  -0.21536719E+08,  -0.40912646E+06,   0.65572766E+07,   0.19812181E+08,   0.00000000E+00,   0.75502902E-10,
    61.995,   1,  0.90917469E+07,   0.23507046E+07,  -0.41432204E+08,  -0.21549251E+08,  -0.41019030E+06,   0.67347846E+07,   0.20280123E+08,   0.00000000E+00,   0.56340526E-10,
    62.997,   1,  0.92886674E+07,   0.23507046E+07,  -0.42091480E+08,  -0.21561776E+08,  -0.41219060E+06,   0.69304170E+07,   0.20671977E+08,   0.00000000E+00,   0.28018083E-10,
    63.999,   1,  0.94589198E+07,   0.23507046E+07,  -0.42758027E+08,  -0.21574736E+08,  -0.41406215E+06,   0.70819080E+07,   0.21011359E+08,   0.00000000E+00,   0.33693326E-10,
    64.998,   1,  0.96155097E+07,   0.23547353E+07,  -0.43427443E+08,  -0.21587267E+08,  -0.41532455E+06,   0.71377771E+07,   0.21328019E+08,   0.00000000E+00,   0.27961318E-10,
    65.999,   1,  0.97873802E+07,   0.23547353E+07,  -0.44088610E+08,  -0.21599792E+08,  -0.41604825E+06,   0.72063740E+07,   0.21670486E+08,   0.00000000E+00,   0.29760193E-10,
    66.999,   1,  0.10043824E+08,   0.23587660E+07,  -0.44758165E+08,  -0.21612752E+08,  -0.41648711E+06,   0.73330187E+07,   0.22168426E+08,   0.00000000E+00,   0.35361278E-10,
    67.993,   1,  0.10489392E+08,   0.23587660E+07,  -0.45422202E+08,  -0.21625712E+08,  -0.41662302E+06,   0.74783756E+07,   0.23005628E+08,   0.00000000E+00,   0.31647649E-10,
    68.999,   1,  0.10979299E+08,   0.25685271E+07,  -0.46099562E+08,  -0.21638672E+08,  -0.41710020E+06,   0.74847031E+07,   0.23933319E+08,   0.00000000E+00,   0.27968198E-10,
    70.000,   1,  0.11376981E+08,   0.25765885E+07,  -0.46773752E+08,  -0.21651203E+08,  -0.41762920E+06,   0.73475597E+07,   0.24744164E+08,   0.00000000E+00,   0.25442832E-10,
    70.998,   1,  0.11858218E+08,   0.26773561E+07,  -0.47427496E+08,  -0.21663728E+08,  -0.41780733E+06,   0.72182517E+07,   0.25666079E+08,   0.00000000E+00,   0.26275374E-10,
    71.998,   1,  0.12335811E+08,   0.26773561E+07,  -0.48093104E+08,  -0.21675828E+08,  -0.43963075E+06,   0.72628351E+07,   0.26520257E+08,   0.00000000E+00,   0.25714096E-10,
    72.992,   1,  0.12665149E+08,   0.26773561E+07,  -0.48755644E+08,  -0.21688778E+08,  -0.45590592E+06,   0.75088029E+07,   0.27131388E+08,   0.00000000E+00,   0.24328477E-10,
    73.995,   1,  0.12934403E+08,   0.26773561E+07,  -0.49406111E+08,  -0.21702610E+08,  -0.46821428E+06,   0.77841298E+07,   0.27653657E+08,   0.00000000E+00,   0.22122535E-10,
    74.992,   1,  0.13186424E+08,   0.26773561E+07,  -0.50071105E+08,  -0.21715570E+08,  -0.47837705E+06,   0.79804448E+07,   0.28156622E+08,   0.00000000E+00,   0.28917821E-10,
    75.991,   1,  0.13427605E+08,   0.26773561E+07,  -0.50753711E+08,  -0.21728530E+08,  -0.48638624E+06,   0.80785118E+07,   0.28671278E+08,   0.00000000E+00,   0.31541511E-10,
    76.999,   1,  0.13655300E+08,   0.26773561E+07,  -0.51453143E+08,  -0.21741061E+08,  -0.49393449E+06,   0.81628629E+07,   0.29199844E+08,   0.00000000E+00,   0.32440277E-10,
    77.998,   1,  0.13880366E+08,   0.26773561E+07,  -0.52129297E+08,  -0.21753586E+08,  -0.50591135E+06,   0.82554138E+07,   0.29729204E+08,   0.00000000E+00,   0.34706789E-10,
    78.996,   1,  0.14102429E+08,   0.26975096E+07,  -0.52791637E+08,  -0.21765688E+08,  -0.51541035E+06,   0.83924052E+07,   0.30240619E+08,   0.00000000E+00,   0.26650333E-10,
    79.999,   1,  0.14306931E+08,   0.26975096E+07,  -0.53479688E+08,  -0.21778206E+08,  -0.54136545E+06,   0.85906725E+07,   0.30706356E+08,   0.00000000E+00,   0.14960146E-10,
    80.998,   1,  0.14490140E+08,   0.26975096E+07,  -0.54174500E+08,  -0.21791174E+08,  -0.57533764E+06,   0.88126738E+07,   0.31123549E+08,   0.00000000E+00,   0.18245429E-10,
    81.997,   1,  0.14653389E+08,   0.26975096E+07,  -0.54870630E+08,  -0.21803270E+08,  -0.60691121E+06,   0.90322707E+07,   0.31500049E+08,   0.00000000E+00,   0.11926239E-10,
    82.998,   1,  0.14799353E+08,   0.26975096E+07,  -0.55560880E+08,  -0.21815366E+08,  -0.65726609E+06,   0.92014323E+07,   0.31838847E+08,   0.00000000E+00,   0.10069696E-10,
    84.000,   1,  0.14936860E+08,   0.26975096E+07,  -0.56261224E+08,  -0.21827462E+08,  -0.70306428E+06,   0.93439923E+07,   0.32158000E+08,   0.00000000E+00,   0.29756245E-11,
    84.995,   1,  0.15067787E+08,   0.26975096E+07,  -0.56941449E+08,  -0.21839558E+08,  -0.73173421E+06,   0.94631199E+07,   0.32465774E+08,   0.00000000E+00,  -0.28195285E-12,
    85.998,   1,  0.15201307E+08,   0.28103419E+07,  -0.57601737E+08,  -0.21851225E+08,  -0.75420034E+06,   0.95715819E+07,   0.32778643E+08,   0.00000000E+00,   0.63072754E-11,
    86.995,   1,  0.15343446E+08,   0.28184033E+07,  -0.58283937E+08,  -0.21863317E+08,  -0.76202051E+06,   0.96566045E+07,   0.33096745E+08,   0.00000000E+00,  -0.21612770E-11,
    87.994,   1,  0.15492520E+08,   0.28184033E+07,  -0.58969145E+08,  -0.21876277E+08,  -0.76834250E+06,   0.97804266E+07,   0.33429215E+08,   0.00000000E+00,  -0.86396556E-11,
    88.994,   1,  0.15700537E+08,   0.30405034E+07,  -0.59652042E+08,  -0.21886230E+08,  -0.77534718E+06,   0.10015668E+08,   0.33870370E+08,   0.00000000E+00,  -0.21459182E-10,
    89.996,   1,  0.15974497E+08,   0.31009639E+07,  -0.60327576E+08,  -0.21894432E+08,  -0.78765470E+06,   0.10304015E+08,   0.34399985E+08,   0.00000000E+00,  -0.29000559E-10,
    90.993,   1,  0.16223980E+08,   0.31009639E+07,  -0.61001959E+08,  -0.21905226E+08,  -0.80687869E+06,   0.10508414E+08,   0.34873100E+08,   0.00000000E+00,  -0.38668672E-10,
    91.999,   1,  0.16423339E+08,   0.31614245E+07,  -0.61683425E+08,  -0.21917322E+08,  -0.82284597E+06,   0.10575023E+08,   0.35270995E+08,   0.00000000E+00,  -0.54645238E-10,
    92.995,   1,  0.16606972E+08,   0.31694859E+07,  -0.62352829E+08,  -0.21929418E+08,  -0.82522035E+06,   0.10606991E+08,   0.35665639E+08,   0.00000000E+00,  -0.59578071E-10,
    93.995,   1,  0.16867052E+08,   0.34395705E+07,  -0.63015374E+08,  -0.21941084E+08,  -0.82522216E+06,   0.10654704E+08,   0.36217448E+08,   0.00000000E+00,  -0.84147961E-10,
    94.998,   1,  0.17166876E+08,   0.34395705E+07,  -0.63680125E+08,  -0.21952747E+08,  -0.84703097E+06,   0.10705143E+08,   0.36829299E+08,   0.00000000E+00,  -0.89298386E-10,
    95.997,   1,  0.17418890E+08,   0.34395705E+07,  -0.64359340E+08,  -0.21964843E+08,  -0.87838164E+06,   0.10723761E+08,   0.37346773E+08,   0.00000000E+00,  -0.87314089E-10,
    96.994,   1,  0.17842438E+08,   0.37343329E+07,  -0.65036535E+08,  -0.21976939E+08,  -0.89178701E+06,   0.10742097E+08,   0.38129876E+08,   0.00000000E+00,  -0.12378374E-09,
    97.998,   1,  0.18312847E+08,   0.37464250E+07,  -0.65714961E+08,  -0.21989035E+08,  -0.90584137E+06,   0.10797445E+08,   0.39049595E+08,   0.00000000E+00,  -0.14614859E-09,
    99.000,   1,  0.18587910E+08,   0.37464250E+07,  -0.66395656E+08,  -0.22000701E+08,  -0.93747754E+06,   0.10876762E+08,   0.39708045E+08,   0.00000000E+00,  -0.18360096E-09,
   100.000,   1,  0.18782649E+08,   0.37464250E+07,  -0.67070785E+08,  -0.22012792E+08,  -0.96810408E+06,   0.11008965E+08,   0.40198263E+08,   0.00000000E+00,  -0.19479953E-09,
   100.994,   1,  0.18969619E+08,   0.38391038E+07,  -0.67733290E+08,  -0.22025323E+08,  -0.99316998E+06,   0.11183956E+08,   0.40679779E+08,   0.00000000E+00,  -0.24562155E-09,
   102.000,   1,  0.19190294E+08,   0.39720896E+07,  -0.68382551E+08,  -0.22036990E+08,  -0.10003135E+07,   0.11366758E+08,   0.41238676E+08,   0.00000000E+00,  -0.28541757E-09,
   102.998,   1,  0.19411400E+08,   0.39720896E+07,  -0.69044540E+08,  -0.22049514E+08,  -0.10481233E+07,   0.11525692E+08,   0.41773130E+08,   0.00000000E+00,  -0.28961649E-09,
   103.997,   1,  0.19596408E+08,   0.39720896E+07,  -0.69711524E+08,  -0.22064199E+08,  -0.10970387E+07,   0.11663017E+08,   0.42216601E+08,   0.00000000E+00,  -0.29672591E-09,
   104.999,   1,  0.19756611E+08,   0.39720896E+07,  -0.70394374E+08,  -0.22079322E+08,  -0.11282156E+07,   0.11810944E+08,   0.42607619E+08,   0.00000000E+00,  -0.30815407E-09,
   105.995,   1,  0.19898684E+08,   0.39720896E+07,  -0.71080909E+08,  -0.22094440E+08,  -0.11601252E+07,   0.11951071E+08,   0.42955852E+08,   0.00000000E+00,  -0.32188777E-09,
   106.995,   1,  0.20026316E+08,   0.39720896E+07,  -0.71764527E+08,  -0.22108704E+08,  -0.11946278E+07,   0.12086160E+08,   0.43271507E+08,   0.00000000E+00,  -0.36891410E-09,
   107.997,   1,  0.20140233E+08,   0.39720896E+07,  -0.72443320E+08,  -0.22121234E+08,  -0.12324652E+07,   0.12208027E+08,   0.43562350E+08,   0.00000000E+00,  -0.36781295E-09,
   108.996,   1,  0.20245321E+08,   0.39761203E+07,  -0.73112766E+08,  -0.22133330E+08,  -0.12610603E+07,   0.12335106E+08,   0.43835277E+08,   0.00000000E+00,  -0.37404381E-09,
   109.997,   1,  0.20347837E+08,   0.39801510E+07,  -0.73789822E+08,  -0.22145426E+08,  -0.12887953E+07,   0.12451881E+08,   0.44097236E+08,   0.00000000E+00,  -0.41165399E-09,
   110.997,   1,  0.20494422E+08,   0.40769427E+07,  -0.74452235E+08,  -0.22157092E+08,  -0.13217857E+07,   0.12526258E+08,   0.44487708E+08,   0.00000000E+00,  -0.42777963E-09,
   111.997,   1,  0.20782101E+08,   0.45609014E+07,  -0.75108725E+08,  -0.22168324E+08,  -0.13333133E+07,   0.12634623E+08,   0.45182221E+08,   0.00000000E+00,  -0.47758551E-09,
   112.999,   1,  0.21115039E+08,   0.46253378E+07,  -0.75780597E+08,  -0.22179556E+08,  -0.13423324E+07,   0.12856562E+08,   0.45955255E+08,   0.00000000E+00,  -0.51493994E-09,
   113.998,   1,  0.21359284E+08,   0.46253378E+07,  -0.76459134E+08,  -0.22191219E+08,  -0.13769059E+07,   0.13187236E+08,   0.46550076E+08,   0.00000000E+00,  -0.53329084E-09,
   114.998,   1,  0.21546990E+08,   0.46253378E+07,  -0.77146198E+08,  -0.22203746E+08,  -0.14089500E+07,   0.13449633E+08,   0.47013977E+08,   0.00000000E+00,  -0.53922274E-09,
   115.997,   1,  0.21709950E+08,   0.46333992E+07,  -0.77859757E+08,  -0.22216275E+08,  -0.14326763E+07,   0.13550446E+08,   0.47411820E+08,   0.00000000E+00,  -0.53630678E-09,
   116.998,   1,  0.21863360E+08,   0.46333992E+07,  -0.78593140E+08,  -0.22228371E+08,  -0.14405324E+07,   0.13648113E+08,   0.47769230E+08,   0.00000000E+00,  -0.53202396E-09,
   117.999,   1,  0.22000766E+08,   0.46333992E+07,  -0.79343829E+08,  -0.22240898E+08,  -0.14587291E+07,   0.13851280E+08,   0.48091867E+08,   0.00000000E+00,  -0.53373118E-09,
   118.999,   1,  0.22117733E+08,   0.46333992E+07,  -0.80101769E+08,  -0.22253427E+08,  -0.14907784E+07,   0.14107475E+08,   0.48377452E+08,   0.00000000E+00,  -0.53166561E-09,
   119.999,   1,  0.22220380E+08,   0.46333992E+07,  -0.80842827E+08,  -0.22264661E+08,  -0.15447322E+07,   0.14258178E+08,   0.48628580E+08,   0.00000000E+00,  -0.52070739E-09,
   120.999,   1,  0.22314215E+08,   0.46333992E+07,  -0.81569560E+08,  -0.22275891E+08,  -0.16061189E+07,   0.14284610E+08,   0.48866000E+08,   0.00000000E+00,  -0.50913558E-09,
   121.999,   1,  0.22403763E+08,   0.46535528E+07,  -0.82296775E+08,  -0.22288417E+08,  -0.16212595E+07,   0.14324241E+08,   0.49103567E+08,   0.00000000E+00,  -0.49402050E-09,
   122.999,   1,  0.22490986E+08,   0.46535528E+07,  -0.83023701E+08,  -0.22300947E+08,  -0.16526042E+07,   0.14424842E+08,   0.49336034E+08,   0.00000000E+00,  -0.48460212E-09,
   123.998,   1,  0.22575642E+08,   0.46535528E+07,  -0.83744270E+08,  -0.22312612E+08,  -0.16948873E+07,   0.14594177E+08,   0.49557795E+08,   0.00000000E+00,  -0.47133085E-09,
   124.998,   1,  0.22658826E+08,   0.46616142E+07,  -0.84456575E+08,  -0.22324275E+08,  -0.17278597E+07,   0.14763813E+08,   0.49779905E+08,   0.00000000E+00,  -0.46475784E-09,
   126.000,   1,  0.22758839E+08,   0.47301636E+07,  -0.85160780E+08,  -0.22335509E+08,  -0.17629969E+07,   0.14885637E+08,   0.50055038E+08,   0.00000000E+00,  -0.46030428E-09,
   126.999,   1,  0.22937132E+08,   0.48672623E+07,  -0.85857268E+08,  -0.22346739E+08,  -0.17901812E+07,   0.15033734E+08,   0.50549361E+08,   0.00000000E+00,  -0.46722338E-09,
   127.997,   1,  0.23225799E+08,   0.53429951E+07,  -0.86551678E+08,  -0.22388551E+08,  -0.18018750E+07,   0.15297841E+08,   0.51269966E+08,   0.00000000E+00,  -0.49613833E-09,
   128.998,   1,  0.23503631E+08,   0.53470258E+07,  -0.87265904E+08,  -0.22477070E+08,  -0.18263093E+07,   0.15652081E+08,   0.51921038E+08,   0.00000000E+00,  -0.51189652E-09,
   129.999,   1,  0.23709424E+08,   0.54800116E+07,  -0.87980160E+08,  -0.22582047E+08,  -0.18369192E+07,   0.15937840E+08,   0.52429702E+08,   0.00000000E+00,  -0.52438961E-09,
   130.999,   1,  0.23886947E+08,   0.54800116E+07,  -0.88701926E+08,  -0.22743531E+08,  -0.19156262E+07,   0.16091437E+08,   0.53094142E+08,   0.00000000E+00,  -0.52853552E-09,
   131.999,   1,  0.24041339E+08,   0.54800116E+07,  -0.89446426E+08,  -0.23035846E+08,  -0.19658648E+07,   0.16192072E+08,   0.54082614E+08,   0.00000000E+00,  -0.53687358E-09,
   133.000,   1,  0.24179716E+08,   0.54800116E+07,  -0.90196247E+08,  -0.23415109E+08,  -0.20100290E+07,   0.16289883E+08,   0.55201807E+08,   0.00000000E+00,  -0.54234369E-09,
