$Direct Runoff Daily Discharge,
Auto-Generated,
JDAY,Flow
1099,2.42
1100,1.523333333
1101,-0.09
1102,-1.25
1103,-0.76
1104,-0.206666667
1105,0.13
1106,0.31
1107,1.266666667
1108,1.136666667
1109,0.943333333
1110,0.086666667
1111,0.086666667
1112,0.1
1113,-0.243333333
1114,-0.243333333
1115,-0.366666667
1116,0.076666667
1117,0.11
1118,0.03
1119,-0.17
1120,0.05
1121,0.253333333
1122,0.253333333
1123,0.826666667
1124,1.26
1125,1.666666667
1126,1.27
1127,0.836666667
1128,0.43
1129,-0.183333333
1130,-0.126666667
1131,-0.126666667
1132,0.156666667
1133,0.306666667
1134,0.063333333
1135,-0.036666667
1136,-0.303333333
1137,-0.303333333
1138,-0.413333333
1139,-0.75
1140,-0.426666667
1141,-0.103333333
1142,1.833333333
1143,2.383333333
1144,2.28
1145,1.503333333
1146,1.346666667
1147,1.503333333
1148,0.763333333
1149,0.813333333
1150,1.206666667
1151,1.716666667
1152,1.856666667
1153,1.21
1154,1.536666667
1155,2.403333333
1156,2.44
1157,1.58
1158,1.426666667
1159,1.856666667
1160,1.306666667
1161,-0.503333333
1162,-0.623333333
1163,1.13
1164,2.21
1165,1.896666667
1166,0.566666667
1167,-1.146666667
1168,-1.193333333
1169,-1.283333333
1170,1.383333333
1171,2.24
1172,2.953333333
1173,2.253333333
1174,2.223333333
1175,2.453333333
1176,2.463333333
1177,2.343333333
1178,1.66
1179,1.863333333
1180,2.86
1181,2.816666667
1182,2.05
1183,0.46
1184,0.46
1185,1.333333333
1186,1.796666667
1187,2.396666667
1188,1.63
1189,1.053333333
1190,1.853333333
1191,1.4
1192,2.253333333
1193,1.146666667
1194,1.453333333
1195,2.026666667
1196,1.683333333
1197,1.573333333
1198,0.086666667
1199,0.136666667
1200,-0.06
1201,0.156666667
1202,0.513333333
1203,0.553333333
1204,0.706666667
1205,0.35
1206,0.34
1207,0.78
1208,0.78
1209,0.75
1210,1.536666667
1211,1.043333333
1212,0.633333333
1213,-0.81
1214,-0.316666667
1215,-0.29
1216,-0.383333333
1217,-0.17
1218,-0.126666667
1219,-0.986666667
1220,-1.443333333
1221,-1.203333333
1222,-0.593333333
1223,-0.35
1224,0.62
1225,0.87
1226,0.563333333
1227,-0.496666667
1228,-0.593333333
1229,-0.286666667
1230,-0.096666667
1231,2.04E-16
1232,2.04E-16
1233,2.04E-16
1234,1.04
1235,1.04
1236,1.04
1237,-0.71
1238,-0.71
1239,-0.71
1240,-0.06
1241,-0.776666667
1242,-0.776666667
1243,-0.286666667
1244,0.43
1245,0.43
1246,7.40E-17
1247,7.40E-17
1248,1.026666667
1249,2.193333333
1250,3.07
1251,3.753333333
1252,2.586666667
1253,1.786666667
1254,-0.596666667
1255,-0.596666667
1256,-0.41
1257,0.663333333
1258,1.443333333
1259,1.12
1260,-0.133333333
1261,-0.913333333
1262,-0.853333333
1263,-0.226666667
1264,-0.226666667
1265,-0.226666667
1266,0.403333333
1267,0.61
1268,0.206666667
1269,-0.973333333
1270,-1.486666667
1271,-1.083333333
1272,0.06
1273,0.753333333
1274,1.033333333
1275,0.666666667
1276,-0.27
1277,-0.8
1278,-0.74
1279,-0.19
1280,0.06
1281,1.71
1282,1.71
1283,1.73
1284,0.366666667
1285,0.183333333
1286,0.653333333
1287,0.183333333
1288,0.366666667
1289,-1.273333333
1290,-1.66
1291,-1.396666667
1292,-0.246666667
1293,0.263333333
1294,-0.523333333
1295,-0.523333333
1296,0.636666667
1297,1.16
1298,0.68
1299,-0.48
1300,-0.48
1301,1.48E-16
1302,1.48E-16
1303,1.48E-16
1304,1.48E-16
1305,-1.56
1306,-1.966666667
1307,-1.966666667
1308,-0.406666667
1309,7.40E-17
1310,0.48
1311,0.58
1312,0.63
1313,1.753333333
1314,1.47
1315,1.42
1316,-0.403333333
1317,-0.036666667
1318,2.693333333
1319,3.323333333
1320,3.296666667
1321,1.473333333
1322,1.416666667
1323,3.766666667
1324,3.426666667
1325,3.753333333
1326,1.48
1327,0.543333333
1328,-0.053333333
1329,-0.416666667
1330,0.076666667
1331,-0.006666667
1332,0.37
1333,0.43
1334,1.48
1335,1.11
1336,1.05
1337,0.02
1338,0.23
1339,0.716666667
1340,1.276666667
1341,1.483333333
1342,1.606666667
1343,1.026666667
1344,-3.70E-17
1345,-0.313333333
1346,-0.863333333
1347,-0.636666667
1348,-1.056666667
1349,-0.08
1350,0.426666667
1351,0.4
1352,0.033333333
1353,0.033333333
1354,0.43
1355,0.37
1356,0.25
1357,-0.12
1358,0.176666667
1359,0.493333333
1360,0.553333333
1361,0.313333333
1362,0.116666667
1363,0.056666667
1364,-4.63E-17
1365,-0.416666667
1366,-0.416666667
1367,-0.416666667
1368,0.163333333
1369,0.103333333
1370,-0.23
1371,-0.393333333
1372,-0.36
1373,-0.423333333
1374,-0.613333333
1375,-0.313333333
1376,1.04
1377,1.23
1378,-0.283333333
1379,-1.24
1380,-1.24
1381,-0.69
1382,-0.69
1383,-0.69
1384,-2.96E-16
1385,-2.96E-16
1386,-1.29
1387,-1.936666667
1388,-1.693333333
1389,0.27
1390,1.37
1391,1.723333333
1392,1.05
1393,0.596666667
1394,-7.40E-17
1395,-0.323333333
1396,-0.706666667
1397,0.526666667
1398,2.876666667
1399,3.2
1400,0.07
1401,-1.956666667
1402,-2.276666667
1403,-0.583333333
1404,-0.713333333
1405,-1.103333333
1406,-0.716666667
1407,-1.31
1408,-0.416666667
1409,0.02
1410,0.573333333
1411,0.45
1412,0.35
1413,0.576666667
1414,1.21
1415,0.69
1416,0.423333333
1417,-0.21
1418,0.683333333
1419,1.573333333
1420,1.573333333
1421,0.713333333
1422,-0.026666667
1423,0.076666667
1424,-0.14
1425,-0.08
1426,-0.183333333
1427,0.12
1428,-0.003333333
1429,-0.003333333
1430,0.266666667
1431,0.083333333
1432,-0.416666667
1433,-1.19
1434,-0.883333333
1435,-0.53
1436,-0.146666667
1437,-0.146666667
1438,-2.78E-16
1439,-2.78E-16
1440,-0.51
1441,-0.406666667
1442,-0.406666667
1443,-0.87
1444,-0.973333333
1445,-0.643333333
1446,0.453333333
1447,0.453333333
1448,-0.056666667
1449,-0.436666667
1450,-0.436666667
1451,-0.316666667
1452,-1.623333333
1453,-1.623333333
1454,-0.953333333
1455,0.853333333
1456,0.853333333
1457,0.243333333
1458,0.5
1459,0.44
1460,0.44
1461,-0.06
1462,-1.30E-16
1463,-1.30E-16
1464,-1.30E-16
1465,0.193333333
1466,-0.446666667
1467,-1.3
1468,-1.88
1469,-1.606666667
1470,-0.693333333
1471,-0.306666667
1472,0.06
1473,1.5
1474,1.5
1475,1.846666667
1476,0.67
1477,0.423333333
1478,-0.123333333
1479,-0.903333333
1480,-0.656666667
1481,-0.456666667
1482,-0.186666667
1483,-0.186666667
1484,-0.186666667
1485,0
1486,-0.516666667
1487,-1.203333333
1488,-1.496666667
1489,-1.013333333
1490,-0.326666667
1491,0.346666667
1492,0.316666667
1493,0.316666667
1494,-1.05
1495,-0.986666667
1496,-0.816666667
1497,0.073333333
1498,0.073333333
1499,-0.096666667
1500,2.04E-16
1501,-0.726666667
1502,-1.073333333
1503,-1.183333333
1504,-1.226666667
1505,-2.133333333
1506,-1.596666667
1507,-0.55
1508,0.703333333
1509,0.276666667
1510,-0.19
1511,-0.006666667
1512,-0.006666667
1513,0.966666667
1514,1.41
1515,1.923333333
1516,1.046666667
1517,0.17
1518,-0.423333333
1519,-0.12
1520,-0.116666667
1521,0.263333333
1522,0.776666667
1523,1.253333333
1524,0.77
1525,0.13
1526,1.116666667
1527,1.3
1528,0.48
1529,-0.59
1530,0.886666667
1531,1.75
1532,2.446666667
1533,1.746666667
1534,2.13
1535,1.533333333
1536,1.29
1537,0.926666667
1538,1.96
1539,1.11
1540,0.973333333
1541,0.356666667
1542,0.673333333
1543,0.723333333
1544,0.06
1545,0.28
1546,0.16
1547,0.276666667
1548,0.056666667
1549,0.243333333
1550,0.006666667
1551,-1.08
1552,-1.206666667
1553,-0.973333333
1554,0.18
1555,-0.183333333
1556,-0.506666667
1557,-0.326666667
1558,0.036666667
1559,-0.22
1560,-0.466666667
1561,-1.09
1562,-1.05
1563,-1.193333333
1564,-1.633333333
1565,-1.206666667
1566,-1.33
1567,-0.206666667
1568,-0.51
1569,-0.243333333
1570,-0.42
1571,-0.213333333
1572,-0.773333333
1573,-0.63
1574,-0.426666667
1575,0.193333333
1576,0.166666667
1577,-0.026666667
1578,-0.086666667
1579,-0.086666667
1580,1.15E-15
1581,-0.85
1582,-1.253333333
1583,-1.233333333
1584,0.046666667
1585,0.223333333
1586,-0.09
1587,-1.243333333
1588,-1.016666667
1589,-0.723333333
1590,-0.433333333
1591,-0.7
1592,-0.86
1593,-0.426666667
1594,0.55
1595,0.9
1596,0.9
1597,0.19
1598,1.30E-15
1599,-1.57
1600,-2.473333333
1601,-1.95
1602,-0.38
1603,0.523333333
1604,1.26E-15
1605,-1.436666667
1606,-2.6
1607,-4.276666667
1608,-1.636666667
1609,-0.473333333
1610,0.163333333
1611,-1.256666667
1612,-2.19
1613,-1.15
1614,-0.95
1615,-0.016666667
1616,-0.03
1617,-0.233333333
1618,-0.156666667
1619,-0.143333333
1620,0.076666667
1621,-0.293333333
1622,0.273333333
1623,0.07
1624,-3.92
1625,-4.486666667
1626,-4.283333333
1627,-0.253333333
1628,-0.743333333
1629,-1.193333333
1630,0.64
1631,1.13
1632,1.58
1633,-0.946666667
1634,0.38
1635,2.31
1636,3.193333333
1637,1.866666667
1638,-0.063333333
1639,-1.24
1640,-3.296666667
1641,-3.296666667
1642,-2.096666667
1643,-0.976666667
1644,-2.81
1645,-3.636666667
1646,-2.193333333
1647,-0.553333333
1648,0.41
1649,0.21
1650,0.57
1651,0.473333333
1652,0.166666667
1653,5.55E-16
1654,5.55E-16
1655,-0.306666667
1656,-0.306666667
1657,-0.306666667
1658,-0.156666667
1659,-1.146666667
1660,-1.146666667
1661,-0.83
1662,0.16
1663,0.29
1664,0.13
1665,-0.053333333
1666,-0.183333333
1667,-0.69
1668,-0.85
1669,-0.85
1670,0.17
1671,0.616666667
1672,1.073333333
1673,1.113333333
1674,1.01
1675,0.553333333
1676,5.18E-16
1677,-0.123333333
1678,-0.186666667
1679,-0.186666667
1680,-0.1
1681,-0.923333333
1682,-1.563333333
1683,-1.526666667
1684,-0.64
1685,0.803333333
1686,0.803333333
1687,0.803333333
1688,-0.17
1689,-0.303333333
1690,-0.303333333
1691,-0.133333333
1692,0.74
1693,0.74
1694,0.616666667
1695,-0.723333333
1696,-0.723333333
1697,-0.293333333
1698,0.76
1699,0.76
1700,-0.58
1701,-1.033333333
1702,-0.85
1703,0.426666667
1704,0.426666667
