$Waushacum Daily Discharge,
Auto-Generated,
JDAY,Flow
170,0.452263841
171,0.5452744
172,0.399364086
173,0.420872778
174,0.429011202
175,0.40459593
176,0.473191217
177,0.399364086
178,0.320305111
179,0.28135694
180,0.287751416
181,0.322630375
182,0.404014614
183,1.895090132
184,2.325263965
185,1.040555625
186,0.553412824
187,0.38715645
188,0.379599342
189,0.796402908
190,0.889413467
191,0.512139388
192,0.374367498
193,0.390644346
194,0.342976435
195,0.311004055
196,0.238920872
197,0.181370589
198,0.16102453
199,0.195322173
200,0.187765065
201,0.156374002
202,0.164512426
203,0.254616404
204,0.24647798
205,2.71474568
206,2.772877279
207,1.191697782
208,0.999863505
209,0.64526075
210,0.420291462
211,0.393550926
212,0.604568631
213,1.395158379
214,0.732458149
215,0.483654905
216,0.356928019
217,0.302865632
218,0.252872456
219,0.202297965
220,0.168581637
221,0.152886106
222,0.14649163
223,0.133121362
224,0.179626641
225,0.149979526
226,0.16393111
227,0.133121362
228,0.107543458
229,0.098242403
230,0.123820306
231,0.092429243
232,0.061038179
233,0.047086595
234,0.062782127
235,0.108124774
236,0.140097154
237,0.125564254
238,0.095335823
239,0.077315027
240,0.115681882
241,0.234851661
242,0.346464331
243,0.2581043
244,0.187183749
245,0.137190574
246,0.102311614
247,0.076733711
248,0.063944759
249,0.051562728
250,0.047202858
251,0.044412542
252,0.04726099
253,0.041389699
254,0.05307415
255,0.127308202
256,0.138353206
257,0.111031354
258,0.072664499
259,0.051446465
260,0.042029146
261,0.034646433
262,0.034413907
263,0.033483801
264,0.035925328
265,0.035285881
266,0.034704565
267,0.034123249
268,0.033018748
269,0.03197238
270,0.033541933
271,0.037146092
272,0.039122566
273,0.036506644
274,0.034123249
275,0.032437432
276,0.033018748
277,0.047958569
278,0.040459593
279,0.035925328
280,0.039122566
281,0.046330885
282,0.042552331
283,0.047958569
284,0.037146092
285,0.035925328
286,0.039122566
287,0.040459593
288,0.040459593
289,0.044063752
290,0.042552331
291,0.052202176
292,0.061038179
293,0.063944759
294,0.061038179
295,0.054004256
296,0.048772412
297,0.091266611
298,0.218574813
299,0.23775824
300,0.191252961
301,0.300540368
302,0.496443857
303,0.379599342
304,0.267405356
305,0.226713237
306,0.186021117
307,0.162768478
308,0.145328998
309,0.133702678
310,0.133702678
311,0.116263198
312,0.110450038
313,0.104636878
314,0.110450038
315,0.104636878
316,0.110450038
317,0.104636878
318,0.282519572
319,0.901039787
320,0.773150269
321,0.533066764
322,0.409246458
323,0.359253283
324,0.493537277
325,0.720831829
326,0.616194951
327,0.438893573
328,0.397038822
329,0.441218837
330,0.391225662
331,0.370879602
332,0.493537277
333,0.470284637
334,0.379599342
335,0.351696175
336,0.39296961
337,0.610381791
338,0.871973987
339,0.639447591
340,0.535392028
341,0.465052793
342,0.402851982
343,0.454007789
344,0.715018669
345,0.68013971
346,0.577246779
347,0.516789916
348,0.883600307
349,1.028929305
350,0.895226627
351,0.481329641
352,0.380761974
353,0.504000965
354,0.520859128
355,0.301121684
356,0.281938256
357,0.256941668
358,0.259266932
359,0.267986672
360,0.370298286
361,0.953358226
362,1.691629535
363,0.831281868
364,0.573758883
365,0.491212013
366,0.420872778
367,0.37843671
368,0.345883015
369,0.313910635
370,0.289495364
371,0.273218516
372,0.259848248
373,0.247059296
374,0.232526397
375,0.232526397
376,0.216830865
377,0.223225341
378,0.219737445
379,0.216249549
380,0.208692441
381,0.212761653
382,0.221481393
383,0.286007468
384,0.279612992
385,0.251128508
386,0.234851661
387,0.203460597
388,0.182533221
389,0.175557429
390,0.68013971
391,2.900766797
392,1.761387454
393,0.755710789
394,0.56271388
395,0.455751737
