$Constituent data for runoff (Weighted Average of Minor Tribs),
Auto-Generated,
JDAY,TDS
1780,3000
1781,29.82113158
1782,29.4571921
1783,33.53219058
1784,105.2299313
1785,0
1786,0
1787,0
1788,0
1789,57.17862195
1790,9.899856149
1791,9.928083764
1792,0
1793,0
1794,0
1795,0
1796,0
1797,0
1798,56.45356956
1799,76.06329075
1800,0
1801,0
1802,0
1803,640.144983
1804,629.9558676
1805,91.5621299
1806,35.00414054
1807,31.5877103
1808,28.91646957
1809,3000
1810,0
1811,0
1812,0
1813,0
1814,0
1815,0
1816,0
1817,0
1818,544.3004124
1819,0
1820,0
1821,605.9271308
1822,47.79087707
1823,38.02222137
1824,60.09254309
1825,0
1826,0
1827,58.80407864
1828,27.07323953
1829,38.97220214
1830,2149.69015
1831,1886.948697
1832,0
1833,0
1834,0
1835,0
1836,0
1837,54.03323994
1838,143.6683826
1839,146.4960337
1840,69.53987033
1841,93.87916005
1842,44.63157399
1843,47.51491142
1844,58.92445739
1845,74.89037814
1846,79.48684147
1847,31.22804959
1848,60.64497786
1849,0
1850,0
1851,0
1852,0
1853,669.1270088
1854,247.3387476
1855,63.68888225
1856,329.6663997
1857,21.83270825
1858,14.5705464
1859,9.426407175
1860,15.14941097
1861,13.70938688
1862,25.07535083
1863,93.43159663
1864,0
1865,0
1866,67.86455947
1867,17.79834473
1868,23.28873747
1869,20.28549081
1870,259.1882491
1871,0
1872,0
1873,0
1874,23.75479508
1875,19.45292212
1876,34.96925059
1877,0
1878,0
1879,0
1880,1083.742558
1881,151.7394769
1882,64.35468981
1883,61.02952752
1884,99.777686
1885,3000
1886,562.9578607
1887,527.08091
1888,485.4552712
1889,37.87760006
1890,25.51061352
1891,23.44209782
1892,84.64124726
1893,0
1894,0
1895,0
1896,25.20513157
1897,17.82310879
1898,41.57875629
1899,90.33241141
1900,114.0656233
1901,133.108503
1902,46.11120907
1903,72.89254456
1904,31.22150942
1905,70.57248332
1906,84.10452766
1907,57.56272318
1908,46.03614094
1909,21.93828858
1910,22.25155701
1911,47.69499621
1912,0
1913,0
1914,85.17054114
1915,0
1916,0
1917,0
1918,0
1919,0
1920,204.6916784
1921,101.9901488
1922,71.97598594
1923,53.28220127
1924,97.65102689
1925,128.4898703
1926,104.7355906
1927,81.99866244
1928,69.20511115
1929,79.75908245
1930,48.67066319
1931,43.57770523
1932,102.6535495
1933,97.4066318
1934,65.40290173
1935,60.77966582
1936,65.67533897
1937,69.81490695
1938,65.61574287
1939,62.42592856
1940,70.42862058
1941,44.12986912
1942,49.89042635
1943,175.701306
1944,118.6137145
1945,127.6643759
1946,95.27241778
1947,600.5446413
1948,495.1353837
1949,218.3148829
1950,96.90045711
1951,64.57484024
1952,59.07116838
1953,63.32514296
1954,52.54078044
1955,36.17084424
1956,27.67107742
1957,29.20506889
1958,26.83456483
1959,36.29877
1960,42.67054705
1961,91.9817395
1962,241.2709934
1963,0
1964,0
1965,0
1966,90.44341987
1967,58.45885633
1968,47.89983885
1969,32.97002154
1970,27.41771167
1971,48.06397672
1972,0
1973,33.1861875
1974,35.07584682
1975,37.8228999
1976,463.1913659
1977,527.0492884
1978,0
1979,0
1980,267.4150496
1981,50.63485918
1982,60.34770653
1983,206.3106212
1984,0
1985,38.39161406
1986,18.07268245
1987,16.45112471
1988,13.89961874
1989,26.34304855
1990,37.18718845
1991,0
1992,94.16984706
1993,56.01607912
1994,45.23628179
1995,3000
1996,0
1997,0
1998,49.43722242
1999,44.16941024
2000,37.02401828
2001,19.73502125
2002,18.5732036
2003,48.72007925
2004,87.43589299
2005,76.03653637
2006,70.66175628
2007,78.7847026
