$Waushacum (Frbk)  inflow constituents,
Auto-Generated,
JDAY,TDS
1371,121.5
1372,122.003
1373,121.227
1374,122.685
1375,129.333
1376,136.325
1377,133.566
1378,125.305
1379,123.54
1380,125.08
1381,129.596
1382,133.328
1383,129.877
1384,123.097
1385,111.234
1386,111.96
1387,115.373
1388,108.169
1389,92.605
1390,99.128
1391,105.488
1392,102.06
1393,97.599
1394,103.907
1395,107.346
1396,107.602
1397,107.67
1398,69.772
1399,54.675
1400,57.542
1401,60.075
1402,61.8
1403,65.976
1404,70.177
1405,72.672
1406,75.42
1407,78.927
1408,77.879
1409,76.815
1410,80.493
1411,83.719
1412,87.063
1413,88.3
1414,89.58
1415,91.395
1416,91.865
1417,92.377
1418,94.821
1419,95.225
1420,94.5
1421,95.711
1422,95.879
1423,95.829
1424,95.784
1425,95.972
1426,97.014
1427,97.114
1428,96.12
1429,98.696
1430,102.993
1431,107.455
1432,110.962
1433,112.09
1434,109.329
1435,114.3
1436,114.927
1437,111.237
1438,105.018
1439,99.912
1440,87.961
1441,84.805
1442,83.58
1443,84.891
1444,86.361
1445,86.295
1446,86.235
1447,84.654
1448,70.382
1449,70.38
1450,73.439
1451,65.853
1452,64.154
1453,67.399
1454,68.597
1455,69.585
1456,71.33
1457,69.92
1458,69.605
1459,70.97
1460,70.084
1461,70.38
1468,110.88
1475,106.32
1483,106.56
1485,112.34
1489,123.9
1496,104.1
1505,106.62
1511,109.68
1512,109.3
1517,107.4
1518,106.9457
1524,104.22
1531,118.02
1535,108.66
1538,101.64
1540,104.3486
1545,111.12
1552,169.62
1559,191.22
1567,191.4
1568,192.25
1573,196.5
1581,203.52
1587,210.72
1594,205.2
1596,206.6057
1601,210.12
1609,198.84
1616,202.38
1622,183.96
1630,172.38
1631,174.53
1636,185.28
1643,186.84
1650,192.66
1657,198.78
1664,204.36
1666,202.0457
1667,200.8886
1671,196.26
1678,208.98
1685,207.24
1692,225.48
1699,254.34
1701,235.8467
1708,171.12
1713,243.6
1720,225.66
1722,240.7971
1727,278.64
1734,300.6
1741,266.22
1750,280.8
1755,279.6
1757,287.1429
1762,306
1767,276.5571
1769,264.78
1777,287.76
1784,271.14
1786,235.1
1790,163.02
1797,134.28
1803,135.54
1805,135.96
1813,146.7
1814,145.5491
1826,145.5491
1832,124.8327
1833,123.6818
1835,121.38
1841,97.44
1842,99.465
1849,113.64
1855,116.88
1861,113.64
1869,115.38
1877,110.34
1882,114.54
1891,119.34
1896,121.86
1897,121.17
1898,120.48
1904,116.34
1909,103.38
1918,98.04
1924,188.8629
1925,204
1934,192.42
1939,194.7382
1945,197.52
1946,197.4825
1949,197.37
1953,197.22
1960,200.28
1967,198.78
1974,162.18
1981,142.26
1988,184.2
1994,187.86
2004,142.5
2008,159.18
2016,106.68
2024,206.64
2030,213.84
2038,215.1
2043,217.74
2051,188.5667
2052,184.92
2053,165.74
2058,69.84
2065,159.48
2073,200.58
2079,215.52
2087,199.14
2094,214.32
2101,164.64
2108,178.56
2114,231.54
2121,292.56
2128,170.28
2135,225.12
2142,214.2
2149,214.2
2155,206.28
2164,197.76
2172,199.56
2177,212.1
2191,212.1
2197,218.64
2204,223.5
2212,216.24
2248,198.66
2268,213.54
2290,167.4
2297,193.86
2305,209.22
2310,146.76
2318,222.78
2323,228.84
2331,228.9
2338,268.56
2345,198.78
2352,50.88
2359,231.36
2367,126.6
2373,180.84
2380,111.78
2388,195.18
2394,192.12
2401,222.18
2409,124.86
2415,128.1
2420,236.34
2430,214.44
2437,49.74
2444,224.58
2450,224.46
2457,240.66
2465,185.28
2472,233.76
2480,222.42
2486,231.66
2494,248.7
2499,267.6
2507,253.38
2513,265.14
2518,277.26
2528,252.42
2533,183.18
2542,231.72
2556,231.72
2557,170.04
2563,170.04
2571,246.24
2577,222.06
2583,189.24
2591,199.2
2605,217.14
2612,188.58
2619,211.08
2624,222.06
2632,205.5
2639,228.36
2647,216.6
2653,216.12
2660,218.1
2667,220.86
2673,227.34
2682,211.44
2690,233.16
2695,261.18
2702,260.88
2709,256.92
2716,207.6
2723,238.08
2730,245.04
2737,337.2
2745,283.68
2751,287.76
2758,244.02
2765,274.92
2771,227.1
2779,188.16
2786,255
2793,249.6
2801,253.2
2807,224.1
2814,185.7
2821,270.54
2828,263.1
2835,180.78
2844,340.02
2850,284.615
2856,245.04
2863,250.38
2870,214.02
2879,293.1
